geography,sex,educ,year,month,race_eth,age,n_deaths
all,all,all,2018,1,American Indian or Alaska Native,0,32
all,all,all,2018,1,American Indian or Alaska Native,5,1
all,all,all,2018,1,American Indian or Alaska Native,10,5
all,all,all,2018,1,American Indian or Alaska Native,15,10
all,all,all,2018,1,American Indian or Alaska Native,20,21
all,all,all,2018,1,American Indian or Alaska Native,25,36
all,all,all,2018,1,American Indian or Alaska Native,30,44
all,all,all,2018,1,American Indian or Alaska Native,35,66
all,all,all,2018,1,American Indian or Alaska Native,40,55
all,all,all,2018,1,American Indian or Alaska Native,45,68
all,all,all,2018,1,American Indian or Alaska Native,50,104
all,all,all,2018,1,American Indian or Alaska Native,55,154
all,all,all,2018,1,American Indian or Alaska Native,60,154
all,all,all,2018,1,American Indian or Alaska Native,65,187
all,all,all,2018,1,American Indian or Alaska Native,70,193
all,all,all,2018,1,American Indian or Alaska Native,75,178
all,all,all,2018,1,American Indian or Alaska Native,80,158
all,all,all,2018,1,American Indian or Alaska Native,85,236
all,all,all,2018,1,Asian,0,74
all,all,all,2018,1,Asian,5,10
all,all,all,2018,1,Asian,10,8
all,all,all,2018,1,Asian,15,25
all,all,all,2018,1,Asian,20,43
all,all,all,2018,1,Asian,25,50
all,all,all,2018,1,Asian,30,54
all,all,all,2018,1,Asian,35,86
all,all,all,2018,1,Asian,40,84
all,all,all,2018,1,Asian,45,162
all,all,all,2018,1,Asian,50,190
all,all,all,2018,1,Asian,55,278
all,all,all,2018,1,Asian,60,443
all,all,all,2018,1,Asian,65,525
all,all,all,2018,1,Asian,70,601
all,all,all,2018,1,Asian,75,761
all,all,all,2018,1,Asian,80,958
all,all,all,2018,1,Asian,85,2516
all,all,all,2018,1,Black or African American,0,613
all,all,all,2018,1,Black or African American,5,61
all,all,all,2018,1,Black or African American,10,56
all,all,all,2018,1,Black or African American,15,192
all,all,all,2018,1,Black or African American,20,377
all,all,all,2018,1,Black or African American,25,559
all,all,all,2018,1,Black or African American,30,499
all,all,all,2018,1,Black or African American,35,643
all,all,all,2018,1,Black or African American,40,781
all,all,all,2018,1,Black or African American,45,1186
all,all,all,2018,1,Black or African American,50,1777
all,all,all,2018,1,Black or African American,55,2739
