geography,sex,educ,race_eth,age,year,month,date,pop
all,all,all,American Indian or Alaska Native,0,2018,1,2018-01-01,162386
all,all,all,American Indian or Alaska Native,0,2018,2,2018-02-01,162357
all,all,all,American Indian or Alaska Native,0,2018,3,2018-03-01,162328
all,all,all,American Indian or Alaska Native,0,2018,4,2018-04-01,162299
all,all,all,American Indian or Alaska Native,0,2018,5,2018-05-01,162270
all,all,all,American Indian or Alaska Native,0,2018,6,2018-06-01,162241
all,all,all,American Indian or Alaska Native,0,2018,7,2018-07-01,162212
all,all,all,American Indian or Alaska Native,0,2018,8,2018-08-01,162183
all,all,all,American Indian or Alaska Native,0,2018,9,2018-09-01,162154
all,all,all,American Indian or Alaska Native,0,2018,10,2018-10-01,162125
all,all,all,American Indian or Alaska Native,0,2018,11,2018-11-01,162096
all,all,all,American Indian or Alaska Native,0,2018,12,2018-12-01,162068
all,all,all,American Indian or Alaska Native,0,2019,1,2019-01-01,162039
all,all,all,American Indian or Alaska Native,0,2019,2,2019-02-01,162010
all,all,all,American Indian or Alaska Native,0,2019,3,2019-03-01,161981
all,all,all,American Indian or Alaska Native,0,2019,4,2019-04-01,161952
all,all,all,American Indian or Alaska Native,0,2019,5,2019-05-01,161923
all,all,all,American Indian or Alaska Native,0,2019,6,2019-06-01,161894
all,all,all,American Indian or Alaska Native,0,2019,7,2019-07-01,160736
all,all,all,American Indian or Alaska Native,0,2019,8,2019-08-01,159578
all,all,all,American Indian or Alaska Native,0,2019,9,2019-09-01,158420
all,all,all,American Indian or Alaska Native,0,2019,10,2019-10-01,157262
all,all,all,American Indian or Alaska Native,0,2019,11,2019-11-01,156104
all,all,all,American Indian or Alaska Native,0,2019,12,2019-12-01,154946
all,all,all,American Indian or Alaska Native,0,2020,1,2020-01-01,153787
all,all,all,American Indian or Alaska Native,0,2020,2,2020-02-01,152629
all,all,all,American Indian or Alaska Native,0,2020,3,2020-03-01,151471
all,all,all,American Indian or Alaska Native,0,2020,4,2020-04-01,150313
all,all,all,American Indian or Alaska Native,0,2020,5,2020-05-01,149155
all,all,all,American Indian or Alaska Native,0,2020,6,2020-06-01,147997
all,all,all,American Indian or Alaska Native,0,2020,7,2020-07-01,146938
all,all,all,American Indian or Alaska Native,0,2020,8,2020-08-01,145880
all,all,all,American Indian or Alaska Native,0,2020,9,2020-09-01,144821
all,all,all,American Indian or Alaska Native,0,2020,10,2020-10-01,143762
all,all,all,American Indian or Alaska Native,0,2020,11,2020-11-01,142704
all,all,all,American Indian or Alaska Native,0,2020,12,2020-12-01,141645
all,all,all,American Indian or Alaska Native,0,2021,1,2021-01-01,140586
all,all,all,American Indian or Alaska Native,0,2021,2,2021-02-01,139528
all,all,all,American Indian or Alaska Native,0,2021,3,2021-03-01,138469
all,all,all,American Indian or Alaska Native,0,2021,4,2021-04-01,137410
all,all,all,American Indian or Alaska Native,0,2021,5,2021-05-01,136352
all,all,all,American Indian or Alaska Native,0,2021,6,2021-06-01,135293
all,all,all,American Indian or Alaska Native,0,2021,7,2021-07-01,136352
all,all,all,American Indian or Alaska Native,0,2021,8,2021-08-01,137410
all,all,all,American Indian or Alaska Native,0,2021,9,2021-09-01,138469
all,all,all,American Indian or Alaska Native,0,2021,10,2021-10-01,139528
all,all,all,American Indian or Alaska Native,0,2021,11,2021-11-01,140586
all,all,all,American Indian or Alaska Native,0,2021,12,2021-12-01,141645
all,all,all,American Indian or Alaska Native,0,2022,1,2022-01-01,142704
all,all,all,American Indian or Alaska Native,0,2022,2,2022-02-01,143762
all,all,all,American Indian or Alaska Native,5,2018,1,2018-01-01,170416
all,all,all,American Indian or Alaska Native,5,2018,2,2018-02-01,170544
all,all,all,American Indian or Alaska Native,5,2018,3,2018-03-01,170672
all,all,all,American Indian or Alaska Native,5,2018,4,2018-04-01,170799
all,all,all,American Indian or Alaska Native,5,2018,5,2018-05-01,170926
all,all,all,American Indian or Alaska Native,5,2018,6,2018-06-01,171054
all,all,all,American Indian or Alaska Native,5,2018,7,2018-07-01,171183
all,all,all,American Indian or Alaska Native,5,2018,8,2018-08-01,171311
all,all,all,American Indian or Alaska Native,5,2018,9,2018-09-01,171440
all,all,all,American Indian or Alaska Native,5,2018,10,2018-10-01,171569
all,all,all,American Indian or Alaska Native,5,2018,11,2018-11-01,171697
all,all,all,American Indian or Alaska Native,5,2018,12,2018-12-01,171826
all,all,all,American Indian or Alaska Native,5,2019,1,2019-01-01,171955
all,all,all,American Indian or Alaska Native,5,2019,2,2019-02-01,172083
all,all,all,American Indian or Alaska Native,5,2019,3,2019-03-01,172212
all,all,all,American Indian or Alaska Native,5,2019,4,2019-04-01,172341
all,all,all,American Indian or Alaska Native,5,2019,5,2019-05-01,172469
all,all,all,American Indian or Alaska Native,5,2019,6,2019-06-01,172598
all,all,all,American Indian or Alaska Native,5,2019,7,2019-07-01,172043
all,all,all,American Indian or Alaska Native,5,2019,8,2019-08-01,171488
all,all,all,American Indian or Alaska Native,5,2019,9,2019-09-01,170932
all,all,all,American Indian or Alaska Native,5,2019,10,2019-10-01,170377
all,all,all,American Indian or Alaska Native,5,2019,11,2019-11-01,169822
all,all,all,American Indian or Alaska Native,5,2019,12,2019-12-01,169266
all,all,all,American Indian or Alaska Native,5,2020,1,2020-01-01,168711
all,all,all,American Indian or Alaska Native,5,2020,2,2020-02-01,168156
all,all,all,American Indian or Alaska Native,5,2020,3,2020-03-01,167601
all,all,all,American Indian or Alaska Native,5,2020,4,2020-04-01,167046
all,all,all,American Indian or Alaska Native,5,2020,5,2020-05-01,166490
all,all,all,American Indian or Alaska Native,5,2020,6,2020-06-01,165935
all,all,all,American Indian or Alaska Native,5,2020,7,2020-07-01,165401
all,all,all,American Indian or Alaska Native,5,2020,8,2020-08-01,164867
all,all,all,American Indian or Alaska Native,5,2020,9,2020-09-01,164334
all,all,all,American Indian or Alaska Native,5,2020,10,2020-10-01,163800
all,all,all,American Indian or Alaska Native,5,2020,11,2020-11-01,163266
all,all,all,American Indian or Alaska Native,5,2020,12,2020-12-01,162732
all,all,all,American Indian or Alaska Native,5,2021,1,2021-01-01,162198
all,all,all,American Indian or Alaska Native,5,2021,2,2021-02-01,161664
all,all,all,American Indian or Alaska Native,5,2021,3,2021-03-01,161130
all,all,all,American Indian or Alaska Native,5,2021,4,2021-04-01,160597
all,all,all,American Indian or Alaska Native,5,2021,5,2021-05-01,160063
all,all,all,American Indian or Alaska Native,5,2021,6,2021-06-01,159529
all,all,all,American Indian or Alaska Native,5,2021,7,2021-07-01,160063
all,all,all,American Indian or Alaska Native,5,2021,8,2021-08-01,160597
all,all,all,American Indian or Alaska Native,5,2021,9,2021-09-01,161130
all,all,all,American Indian or Alaska Native,5,2021,10,2021-10-01,161664
all,all,all,American Indian or Alaska Native,5,2021,11,2021-11-01,162198
all,all,all,American Indian or Alaska Native,5,2021,12,2021-12-01,162732
all,all,all,American Indian or Alaska Native,5,2022,1,2022-01-01,163266
all,all,all,American Indian or Alaska Native,5,2022,2,2022-02-01,163800
all,all,all,American Indian or Alaska Native,10,2018,1,2018-01-01,177981
all,all,all,American Indian or Alaska Native,10,2018,2,2018-02-01,177913
all,all,all,American Indian or Alaska Native,10,2018,3,2018-03-01,177845
all,all,all,American Indian or Alaska Native,10,2018,4,2018-04-01,177777
all,all,all,American Indian or Alaska Native,10,2018,5,2018-05-01,177709
all,all,all,American Indian or Alaska Native,10,2018,6,2018-06-01,177641
all,all,all,American Indian or Alaska Native,10,2018,7,2018-07-01,177573
all,all,all,American Indian or Alaska Native,10,2018,8,2018-08-01,177506
all,all,all,American Indian or Alaska Native,10,2018,9,2018-09-01,177438
