geography,sex,educ,year,race_eth,age,pop
all,all,all,2018,American Indian or Alaska Native,0,162241
all,all,all,2018,American Indian or Alaska Native,5,171054
all,all,all,2018,American Indian or Alaska Native,10,177641
all,all,all,2018,American Indian or Alaska Native,15,178610
all,all,all,2018,American Indian or Alaska Native,20,184162
all,all,all,2018,American Indian or Alaska Native,25,200130
all,all,all,2018,American Indian or Alaska Native,30,170496
all,all,all,2018,American Indian or Alaska Native,35,156743
all,all,all,2018,American Indian or Alaska Native,40,140766
all,all,all,2018,American Indian or Alaska Native,45,144577
all,all,all,2018,American Indian or Alaska Native,50,149197
all,all,all,2018,American Indian or Alaska Native,55,156860
all,all,all,2018,American Indian or Alaska Native,60,137914
all,all,all,2018,American Indian or Alaska Native,65,106787
all,all,all,2018,American Indian or Alaska Native,70,76293
all,all,all,2018,American Indian or Alaska Native,75,48614
all,all,all,2018,American Indian or Alaska Native,80,29364
all,all,all,2018,American Indian or Alaska Native,85,25922
all,all,all,2018,Asian,0,992379
all,all,all,2018,Asian,5,1024398
all,all,all,2018,Asian,10,1061466
all,all,all,2018,Asian,15,1097417
all,all,all,2018,Asian,20,1292983
all,all,all,2018,Asian,25,1605360
all,all,all,2018,Asian,30,1634132
all,all,all,2018,Asian,35,1562088
all,all,all,2018,Asian,40,1437081
all,all,all,2018,Asian,45,1390607
all,all,all,2018,Asian,50,1183352
all,all,all,2018,Asian,55,1091473
all,all,all,2018,Asian,60,986559
all,all,all,2018,Asian,65,823758
all,all,all,2018,Asian,70,599679
all,all,all,2018,Asian,75,404835
all,all,all,2018,Asian,80,268634
all,all,all,2018,Asian,85,272474
all,all,all,2018,Black or African American,0,2724007
all,all,all,2018,Black or African American,5,2781726
all,all,all,2018,Black or African American,10,2846100
all,all,all,2018,Black or African American,15,2927001
all,all,all,2018,Black or African American,20,3127543
all,all,all,2018,Black or African American,25,3477092
all,all,all,2018,Black or African American,30,2915530
all,all,all,2018,Black or African American,35,2767220
all,all,all,2018,Black or African American,40,2490221
all,all,all,2018,Black or African American,45,2589420
all,all,all,2018,Black or African American,50,2591715
all,all,all,2018,Black or African American,55,2609607
all,all,all,2018,Black or African American,60,2284200
all,all,all,2018,Black or African American,65,1754604
all,all,all,2018,Black or African American,70,1205737
all,all,all,2018,Black or African American,75,796677
all,all,all,2018,Black or African American,80,513818
all,all,all,2018,Black or African American,85,500005
all,all,all,2018,hispanic,0,5171973
all,all,all,2018,hispanic,5,5256407
all,all,all,2018,hispanic,10,5278748
all,all,all,2018,hispanic,15,4975084
all,all,all,2018,hispanic,20,4839172
all,all,all,2018,hispanic,25,4877375
all,all,all,2018,hispanic,30,4551791
all,all,all,2018,hispanic,35,4478782
all,all,all,2018,hispanic,40,4108330
all,all,all,2018,hispanic,45,3760917
all,all,all,2018,hispanic,50,3264648
all,all,all,2018,hispanic,55,2749799
all,all,all,2018,hispanic,60,2140634
all,all,all,2018,hispanic,65,1566030
all,all,all,2018,hispanic,70,1116654
all,all,all,2018,hispanic,75,740775
all,all,all,2018,hispanic,80,495599
all,all,all,2018,hispanic,85,499028
all,all,all,2018,More than one race,0,952473
all,all,all,2018,More than one race,5,927883
all,all,all,2018,More than one race,10,858969
all,all,all,2018,More than one race,15,735443
all,all,all,2018,More than one race,20,655799
all,all,all,2018,More than one race,25,556658
all,all,all,2018,More than one race,30,421184
all,all,all,2018,More than one race,35,366630
all,all,all,2018,More than one race,40,296807
all,all,all,2018,More than one race,45,271889
all,all,all,2018,More than one race,50,236575
all,all,all,2018,More than one race,55,232251
all,all,all,2018,More than one race,60,197268
all,all,all,2018,More than one race,65,148029
all,all,all,2018,More than one race,70,105991
all,all,all,2018,More than one race,75,67898
all,all,all,2018,More than one race,80,42185
all,all,all,2018,More than one race,85,40734
all,all,all,2018,Native Hawaiian or Other Pacific Islander,0,40674
all,all,all,2018,Native Hawaiian or Other Pacific Islander,5,40354
all,all,all,2018,Native Hawaiian or Other Pacific Islander,10,41889
