geography,sex,educ,year,month,race_eth,age_grp,n_deaths
all,all,all,2018,1,American Indian or Alaska Native,< 1 year,20
all,all,all,2018,1,American Indian or Alaska Native,1-4 years,12
all,all,all,2018,1,American Indian or Alaska Native,5-9 years,1
all,all,all,2018,1,American Indian or Alaska Native,10-14 years,5
all,all,all,2018,1,American Indian or Alaska Native,15-19 years,10
all,all,all,2018,1,American Indian or Alaska Native,20-24 years,21
all,all,all,2018,1,American Indian or Alaska Native,25-29 years,36
all,all,all,2018,1,American Indian or Alaska Native,30-34 years,44
all,all,all,2018,1,American Indian or Alaska Native,35-39 years,66
all,all,all,2018,1,American Indian or Alaska Native,40-44 years,55
all,all,all,2018,1,American Indian or Alaska Native,45-49 years,68
all,all,all,2018,1,American Indian or Alaska Native,50-54 years,104
all,all,all,2018,1,American Indian or Alaska Native,55-59 years,154
all,all,all,2018,1,American Indian or Alaska Native,60-64 years ,154
all,all,all,2018,1,American Indian or Alaska Native,65-69 years,187
all,all,all,2018,1,American Indian or Alaska Native,70-74 years,193
all,all,all,2018,1,American Indian or Alaska Native,75-79 years,178
all,all,all,2018,1,American Indian or Alaska Native,80-84 years,158
all,all,all,2018,1,American Indian or Alaska Native,85-89 years,118
all,all,all,2018,1,American Indian or Alaska Native,90-94 years,68
all,all,all,2018,1,American Indian or Alaska Native,95-99 years,46
all,all,all,2018,1,American Indian or Alaska Native,100+ years,4
all,all,all,2018,2,American Indian or Alaska Native,< 1 year,21
all,all,all,2018,2,American Indian or Alaska Native,1-4 years,8
all,all,all,2018,2,American Indian or Alaska Native,5-9 years,4
all,all,all,2018,2,American Indian or Alaska Native,10-14 years,6
all,all,all,2018,2,American Indian or Alaska Native,15-19 years,19
all,all,all,2018,2,American Indian or Alaska Native,20-24 years,18
all,all,all,2018,2,American Indian or Alaska Native,25-29 years,38
all,all,all,2018,2,American Indian or Alaska Native,30-34 years,53
all,all,all,2018,2,American Indian or Alaska Native,35-39 years,46
all,all,all,2018,2,American Indian or Alaska Native,40-44 years,51
all,all,all,2018,2,American Indian or Alaska Native,45-49 years,70
all,all,all,2018,2,American Indian or Alaska Native,50-54 years,90
all,all,all,2018,2,American Indian or Alaska Native,55-59 years,145
all,all,all,2018,2,American Indian or Alaska Native,60-64 years ,128
all,all,all,2018,2,American Indian or Alaska Native,65-69 years,163
all,all,all,2018,2,American Indian or Alaska Native,70-74 years,118
all,all,all,2018,2,American Indian or Alaska Native,75-79 years,146
all,all,all,2018,2,American Indian or Alaska Native,80-84 years,120
all,all,all,2018,2,American Indian or Alaska Native,85-89 years,84
all,all,all,2018,2,American Indian or Alaska Native,90-94 years,63
all,all,all,2018,2,American Indian or Alaska Native,95-99 years,25
all,all,all,2018,2,American Indian or Alaska Native,100+ years,6
all,all,all,2018,3,American Indian or Alaska Native,< 1 year,23
all,all,all,2018,3,American Indian or Alaska Native,1-4 years,4
all,all,all,2018,3,American Indian or Alaska Native,5-9 years,1
all,all,all,2018,3,American Indian or Alaska Native,10-14 years,7
all,all,all,2018,3,American Indian or Alaska Native,15-19 years,9
all,all,all,2018,3,American Indian or Alaska Native,20-24 years,29
all,all,all,2018,3,American Indian or Alaska Native,25-29 years,42
all,all,all,2018,3,American Indian or Alaska Native,30-34 years,39
all,all,all,2018,3,American Indian or Alaska Native,35-39 years,54
all,all,all,2018,3,American Indian or Alaska Native,40-44 years,66
all,all,all,2018,3,American Indian or Alaska Native,45-49 years,88
all,all,all,2018,3,American Indian or Alaska Native,50-54 years,112
all,all,all,2018,3,American Indian or Alaska Native,55-59 years,121
all,all,all,2018,3,American Indian or Alaska Native,60-64 years ,157
all,all,all,2018,3,American Indian or Alaska Native,65-69 years,147
all,all,all,2018,3,American Indian or Alaska Native,70-74 years,180
all,all,all,2018,3,American Indian or Alaska Native,75-79 years,145
all,all,all,2018,3,American Indian or Alaska Native,80-84 years,148
