geography,sex,educ,year,race_eth,age_grp,pop
all,all,all,2018,American Indian or Alaska Native,< 1 year,31525
all,all,all,2018,American Indian or Alaska Native,1-4 years,130716
all,all,all,2018,American Indian or Alaska Native,5-9 years,171054
all,all,all,2018,American Indian or Alaska Native,10-14 years,177641
all,all,all,2018,American Indian or Alaska Native,15-19 years,178610
all,all,all,2018,American Indian or Alaska Native,20-24 years,184162
all,all,all,2018,American Indian or Alaska Native,25-29 years,200130
all,all,all,2018,American Indian or Alaska Native,30-34 years,170496
all,all,all,2018,American Indian or Alaska Native,35-39 years,156743
all,all,all,2018,American Indian or Alaska Native,40-44 years,140766
all,all,all,2018,American Indian or Alaska Native,45-49 years,144577
all,all,all,2018,American Indian or Alaska Native,50-54 years,149197
all,all,all,2018,American Indian or Alaska Native,55-59 years,156860
all,all,all,2018,American Indian or Alaska Native,60-64 years ,137914
all,all,all,2018,American Indian or Alaska Native,65-69 years,106787
all,all,all,2018,American Indian or Alaska Native,70-74 years,76293
all,all,all,2018,American Indian or Alaska Native,75-79 years,48614
all,all,all,2018,American Indian or Alaska Native,80-84 years,29364
all,all,all,2018,American Indian or Alaska Native,85-89 years,NA
all,all,all,2018,American Indian or Alaska Native,90-94 years,NA
all,all,all,2018,American Indian or Alaska Native,95-99 years,NA
all,all,all,2018,American Indian or Alaska Native,100+ years,NA
all,all,all,2018,American Indian or Alaska Native,All ages,2417371
all,all,all,2019,American Indian or Alaska Native,< 1 year,31497
all,all,all,2019,American Indian or Alaska Native,1-4 years,130397
all,all,all,2019,American Indian or Alaska Native,5-9 years,172598
all,all,all,2019,American Indian or Alaska Native,10-14 years,176829
all,all,all,2019,American Indian or Alaska Native,15-19 years,177333
all,all,all,2019,American Indian or Alaska Native,20-24 years,181686
all,all,all,2019,American Indian or Alaska Native,25-29 years,200776
all,all,all,2019,American Indian or Alaska Native,30-34 years,175046
all,all,all,2019,American Indian or Alaska Native,35-39 years,159155
all,all,all,2019,American Indian or Alaska Native,40-44 years,142290
all,all,all,2019,American Indian or Alaska Native,45-49 years,142567
all,all,all,2019,American Indian or Alaska Native,50-54 years,145125
all,all,all,2019,American Indian or Alaska Native,55-59 years,157082
all,all,all,2019,American Indian or Alaska Native,60-64 years ,141109
all,all,all,2019,American Indian or Alaska Native,65-69 years,110613
all,all,all,2019,American Indian or Alaska Native,70-74 years,81240
all,all,all,2019,American Indian or Alaska Native,75-79 years,51392
all,all,all,2019,American Indian or Alaska Native,80-84 years,31257
all,all,all,2019,American Indian or Alaska Native,85-89 years,NA
