"age_grp";"race_eth";"month_from_start";"all_cause_rate";"Model";"Standard Error";"Flag";"APC";"Joinpoints";"Final Selected Model"
65andup;American Indian or Alaska Native;1;384.832317720;312.559362627;2.610459077;NA;-0.647980333;4;4
65andup;American Indian or Alaska Native;2;291.078487741;310.534039428;1.966556137;NA;-0.647980333;4;4
65andup;American Indian or Alaska Native;3;335.521986373;308.521839925;2.268153618;NA;-0.647980333;4;4
65andup;American Indian or Alaska Native;4;291.987272341;306.522679079;1.963009009;NA;-0.647980333;4;4
65andup;American Indian or Alaska Native;5;285.137609251;304.536472403;1.889295979;NA;-0.647980333;4;4
65andup;American Indian or Alaska Native;6;280.242951734;302.563135955;1.855862796;NA;-0.647980333;4;4
65andup;American Indian or Alaska Native;7;299.336062872;300.602586339;1.980020823;NA;-0.647980333;4;4
65andup;American Indian or Alaska Native;8;260.061144756;298.654740699;1.683047356;NA;-0.647980333;4;4
65andup;American Indian or Alaska Native;9;276.749428955;296.719516715;1.813141425;NA;-0.647980333;4;4
65andup;American Indian or Alaska Native;10;271.332896113;294.796832603;1.746099689;NA;-0.647980333;4;4
65andup;American Indian or Alaska Native;11;288.534354730;292.886607105;1.891682322;NA;-0.647980333;4;4
65andup;American Indian or Alaska Native;12;310.748817130;290.988759493;2.034648573;NA;-0.647980333;4;4
65andup;American Indian or Alaska Native;13;330.629952372;289.103209560;2.141529279;NA;-0.647980333;4;4
65andup;American Indian or Alaska Native;14;300.887337720;287.229877620;1.918352699;NA;-0.647980333;4;4
65andup;American Indian or Alaska Native;15;305.761674256;285.368684503;1.952451784;NA;-0.647980333;4;4
65andup;American Indian or Alaska Native;16;304.142158052;283.519551551;1.917530959;NA;-0.647980333;4;4
65andup;American Indian or Alaska Native;17;286.727998127;281.682400616;1.825382045;NA;-0.647980333;4;4
65andup;American Indian or Alaska Native;18;265.055139869;279.857154059;1.664435840;NA;-0.647980333;4;4
65andup;American Indian or Alaska Native;19;265.841222691;278.043734740;1.683748172;NA;-0.647980333;4;4
65andup;American Indian or Alaska Native;20;261.915165527;276.242066022;1.647396662;Joinpoint 1;NA;4;4
65andup;American Indian or Alaska Native;21;269.575578371;281.496295502;1.674131800;NA;1.902038149*;4;4
65andup;American Indian or Alaska Native;22;289.961521497;286.850462431;1.783328755;NA;1.902038149*;4;4
65andup;American Indian or Alaska Native;23;283.886151820;292.306467658;1.758587395;NA;1.902038149*;4;4
65andup;American Indian or Alaska Native;24;294.849770357;297.866248186;1.802119727;NA;1.902038149*;4;4
65andup;American Indian or Alaska Native;25;334.934202788;303.531777860;2.061565992;NA;1.902038149*;4;4
65andup;American Indian or Alaska Native;26;284.852958992;309.305068070;1.722717660;NA;1.902038149*;4;4
65andup;American Indian or Alaska Native;27;315.545593290;315.188168463;1.905244847;NA;1.902038149*;4;4
65andup;American Indian or Alaska Native;28;361.880954961;321.183167669;2.182608647;NA;1.902038149*;4;4
65andup;American Indian or Alaska Native;29;356.302012555;327.292194047;2.134790893;NA;1.902038149*;4;4
65andup;American Indian or Alaska Native;30;334.036522721;333.517416437;1.974905169;NA;1.902038149*;4;4
65andup;American Indian or Alaska Native;31;339.447902779;339.861044932;1.970024685;NA;1.902038149*;4;4
65andup;American Indian or Alaska Native;32;346.645585635;346.325331662;2.031094563;NA;1.902038149*;4;4
65andup;American Indian or Alaska Native;33;330.818736563;352.912571591;1.923688714;Joinpoint 2;NA;4;4
65andup;American Indian or Alaska Native;34;387.628077226;408.434597081;2.247960515;NA;15.732515631;4;4
65andup;American Indian or Alaska Native;35;454.171871667;472.691633911;2.585407105;NA;15.732515631;4;4
65andup;American Indian or Alaska Native;36;558.952694720;547.057919105;3.186918683;Joinpoint 3;NA;4;4
65andup;American Indian or Alaska Native;37;518.462565567;462.010990532;2.940615801;NA;-15.546238452*;4;4
65andup;American Indian or Alaska Native;38;352.162059059;390.185660271;1.969062857;NA;-15.546238452*;4;4
65andup;American Indian or Alaska Native;39;314.002458083;329.526467121;1.795275784;NA;-15.546238452*;4;4
65andup;American Indian or Alaska Native;40;285.661192294;278.297496781;1.594432010;Joinpoint 4;NA;4;4
65andup;American Indian or Alaska Native;41;287.480052201;289.798495858;1.592417735;NA;4.132627569*;4;4
65andup;American Indian or Alaska Native;42;289.524424659;301.774788393;1.602388402;NA;4.132627569*;4;4
65andup;American Indian or Alaska Native;43;294.072290815;314.246016495;1.621828571;NA;4.132627569*;4;4
65andup;American Indian or Alaska Native;44;358.308956562;327.232634008;1.987099061;NA;4.132627569*;4;4
65andup;American Indian or Alaska Native;45;369.149640684;340.755940057;2.045877832;NA;4.132627569*;4;4
65andup;American Indian or Alaska Native;46;382.449311187;354.838113979;2.130413019;NA;4.132627569*;4;4
65andup;American Indian or Alaska Native;47;363.390855824;369.502251704;2.067714545;NA;4.132627569*;4;4
65andup;American Indian or Alaska Native;48;365.139345252;384.772403627;2.090388841;NA;4.132627569*;4;4
65andup;American Indian or Alaska Native;49;441.492743177;400.673614058;2.539817817;NA;4.132627569*;4;4
65andup;American Indian or Alaska Native;50;365.403433284;417.231962295;2.109480919;NA;4.132627569*;4;4
65andup;Asian;1;252.268849047;208.632141316;0.192618860;NA;-0.670606896*;5;5
65andup;Asian;2;202.615514120;207.233039789;0.153605004;NA;-0.670606896*;5;5
65andup;Asian;3;218.404847322;205.843320733;0.165307308;NA;-0.670606896*;5;5
65andup;Asian;4;196.565813577;204.462921228;0.147226419;NA;-0.670606896*;5;5
65andup;Asian;5;192.853888424;203.091778778;0.144431779;NA;-0.670606896*;5;5
65andup;Asian;6;180.851942447;201.729831304;0.134251165;NA;-0.670606896*;5;5
65andup;Asian;7;185.962889932;200.377017143;0.137588305;NA;-0.670606896*;5;5
65andup;Asian;8;179.565311576;199.033275047;0.132382989;NA;-0.670606896*;5;5
65andup;Asian;9;177.927260734;197.698544179;0.130560100;NA;-0.670606896*;5;5
65andup;Asian;10;190.022470107;196.372764108;0.138238217;NA;-0.670606896*;5;5
65andup;Asian;11;197.659585284;195.055874809;0.143737757;NA;-0.670606896*;5;5
65andup;Asian;12;210.785615419;193.747816661;0.152361161;NA;-0.670606896*;5;5
65andup;Asian;13;213.884439136;192.448530441;0.154217477;NA;-0.670606896*;5;5
65andup;Asian;14;201.868942525;191.157957324;0.144817388;NA;-0.670606896*;5;5
65andup;Asian;15;218.722188525;189.876038879;0.155924142;NA;-0.670606896*;5;5
65andup;Asian;16;191.207373748;188.602717068;0.135473050;NA;-0.670606896*;5;5
65andup;Asian;17;188.140244646;187.337934241;0.132665230;NA;-0.670606896*;5;5
65andup;Asian;18;179.088930864;186.081633134;0.125331741;NA;-0.670606896*;5;5
65andup;Asian;19;180.837199117;184.833756870;0.125825049;NA;-0.670606896*;5;5
65andup;Asian;20;175.818449553;183.594248949;0.121947780;NA;-0.670606896*;5;5
65andup;Asian;21;171.959226833;182.363053255;0.118887974;NA;-0.670606896*;5;5
65andup;Asian;22;191.158641730;181.140114043;0.131926471;Joinpoint 1;NA;5;5
65andup;Asian;23;195.805383738;192.918058979;0.134161499;NA;6.502118538*;5;5
65andup;Asian;24;210.700185034;205.461819856;0.143441054;NA;6.502118538*;5;5
65andup;Asian;25;221.982075162;218.821190934;0.149756412;NA;6.502118538*;5;5
65andup;Asian;26;205.303732338;233.049204156;0.138539288;NA;6.502118538*;5;5
65andup;Asian;27;236.589986290;248.202339663;0.158745569;NA;6.502118538*;5;5
65andup;Asian;28;341.801657318;264.340750003;0.227824377;Joinpoint 2;NA;5;5
65andup;Asian;29;243.824485600;250.786815642;0.161684956;NA;-5.127447948*;5;5
65andup;Asian;30;202.714760787;237.927852210;0.134238926;NA;-5.127447948*;5;5
65andup;Asian;31;213.372700991;225.728225435;0.140341371;NA;-5.127447948*;5;5
65andup;Asian;32;220.464189155;214.154128173;0.144407737;NA;-5.127447948*;5;5
65andup;Asian;33;201.138904915;203.173486723;0.130919309;NA;-5.127447948*;5;5
65andup;Asian;34;205.982195206;192.755871947;0.133555676;Joinpoint 3;NA;5;5
65andup;Asian;35;231.507195527;241.454569784;0.149465486;NA;25.264443228*;5;5
65andup;Asian;36;334.518686957;302.456722489;0.214632358;NA;25.264443228*;5;5
65andup;Asian;37;385.530443266;378.870729431;0.246651757;Joinpoint 4;NA;5;5
65andup;Asian;38;262.507608186;294.455611743;0.166778704;NA;-22.280717704*;5;5
65andup;Asian;39;233.748349995;228.848788127;0.148083558;NA;-22.280717704*;5;5
65andup;Asian;40;199.814808672;177.859635675;0.125724063;Joinpoint 5;NA;5;5
65andup;Asian;41;193.666106023;184.631460182;0.121359769;NA;3.807398166*;5;5
65andup;Asian;42;176.958833592;191.661115011;0.110697394;NA;3.807398166*;5;5
65andup;Asian;43;189.497181628;198.958416790;0.118534195;NA;3.807398166*;5;5
65andup;Asian;44;203.813391695;206.533555902;0.128726510;NA;3.807398166*;5;5
65andup;Asian;45;208.860997233;214.397110723;0.132364529;NA;3.807398166*;5;5
65andup;Asian;46;217.080178559;222.560062385;0.138048938;NA;3.807398166*;5;5
65andup;Asian;47;212.442256450;231.033810119;0.135926166;NA;3.807398166*;5;5
65andup;Asian;48;236.383996225;239.830187169;0.151941434;NA;3.807398166*;5;5
65andup;Asian;49;309.434802292;248.961477317;0.199837472;NA;3.807398166*;5;5
65andup;Asian;50;242.757363482;258.440432039;0.157394882;NA;3.807398166*;5;5
65andup;Black or African American;1;479.543640943;393.642576903;0.185470237;NA;-0.242529922;5;5
65andup;Black or African American;2;396.909363465;392.687875869;0.153060493;NA;-0.242529922;5;5
65andup;Black or African American;3;407.603782613;391.735490271;0.156440061;NA;-0.242529922;5;5
