"age_grp";"race_eth";"month_from_start";"all_cause_rate";"Model";"Standard Error";"Flag";"APC";"Joinpoints";"Final Selected Model"
65andup;American Indian or Alaska Native;1;384.832317720;312.573220925;2.610459077;NA;-0.648692427;4;4
65andup;American Indian or Alaska Native;2;291.078487741;310.545582113;1.966556137;NA;-0.648692427;4;4
65andup;American Indian or Alaska Native;3;335.521986373;308.531096440;2.268153618;NA;-0.648692427;4;4
65andup;American Indian or Alaska Native;4;291.987272341;306.529678584;1.963009009;NA;-0.648692427;4;4
65andup;American Indian or Alaska Native;5;285.137609251;304.541243773;1.889295979;NA;-0.648692427;4;4
65andup;American Indian or Alaska Native;6;280.242951734;302.565707789;1.855862796;NA;-0.648692427;4;4
65andup;American Indian or Alaska Native;7;299.336062872;300.602986957;1.980020823;NA;-0.648692427;4;4
65andup;American Indian or Alaska Native;8;260.061144756;298.652998146;1.683047356;NA;-0.648692427;4;4
65andup;American Indian or Alaska Native;9;276.749428955;296.715658765;1.813141425;NA;-0.648692427;4;4
65andup;American Indian or Alaska Native;10;271.332896113;294.790886758;1.746099689;NA;-0.648692427;4;4
65andup;American Indian or Alaska Native;11;288.534354730;292.878600601;1.891682322;NA;-0.648692427;4;4
65andup;American Indian or Alaska Native;12;310.748817130;290.978719300;2.034648573;NA;-0.648692427;4;4
65andup;American Indian or Alaska Native;13;330.629952372;289.091162384;2.141529279;NA;-0.648692427;4;4
65andup;American Indian or Alaska Native;14;300.887337720;287.215849908;1.918352699;NA;-0.648692427;4;4
65andup;American Indian or Alaska Native;15;305.761674256;285.352702441;1.952451784;NA;-0.648692427;4;4
65andup;American Indian or Alaska Native;16;304.142158052;283.501641071;1.917530959;NA;-0.648692427;4;4
65andup;American Indian or Alaska Native;17;286.727998127;281.662587396;1.825382045;NA;-0.648692427;4;4
65andup;American Indian or Alaska Native;18;265.055139869;279.835463523;1.664435840;NA;-0.648692427;4;4
65andup;American Indian or Alaska Native;19;265.841222691;278.020192064;1.683748172;NA;-0.648692427;4;4
65andup;American Indian or Alaska Native;20;261.915165527;276.216696133;1.647396662;Joinpoint 1;NA;4;4
65andup;American Indian or Alaska Native;21;269.575578371;281.480340072;1.674131800;NA;1.905621207*;4;4
65andup;American Indian or Alaska Native;22;289.961521497;286.844289126;1.783328755;NA;1.905621207*;4;4
65andup;American Indian or Alaska Native;23;283.886151820;292.310454730;1.758587395;NA;1.905621207*;4;4
65andup;American Indian or Alaska Native;24;294.849770357;297.880784746;1.802119727;NA;1.905621207*;4;4
65andup;American Indian or Alaska Native;25;334.934202788;303.557264152;2.061565992;NA;1.905621207*;4;4
65andup;American Indian or Alaska Native;26;284.852958992;309.341915752;1.722717660;NA;1.905621207*;4;4
65andup;American Indian or Alaska Native;27;315.545593290;315.236800901;1.905244847;NA;1.905621207*;4;4
65andup;American Indian or Alaska Native;28;361.880954961;321.244020231;2.182608647;NA;1.905621207*;4;4
65andup;American Indian or Alaska Native;29;356.302012555;327.365714407;2.134790893;NA;1.905621207*;4;4
65andup;American Indian or Alaska Native;30;334.036522721;333.604064885;1.974905169;NA;1.905621207*;4;4
65andup;American Indian or Alaska Native;31;339.447902779;339.961294692;1.970024685;NA;1.905621207*;4;4
65andup;American Indian or Alaska Native;32;346.645585635;346.439669220;2.031094563;NA;1.905621207*;4;4
65andup;American Indian or Alaska Native;33;330.818736563;353.041497026;1.923688714;Joinpoint 2;NA;4;4
65andup;American Indian or Alaska Native;34;387.628077226;408.015207502;2.247960515;NA;15.571458579;4;4
65andup;American Indian or Alaska Native;35;454.171871667;471.549126535;2.585407105;NA;15.571458579;4;4
65andup;American Indian or Alaska Native;36;558.952694720;544.976203454;3.186918683;Joinpoint 3;NA;4;4
65andup;American Indian or Alaska Native;37;518.462565567;462.353331598;2.940615801;NA;-15.160821946*;4;4
65andup;American Indian or Alaska Native;38;352.162059059;392.256766232;1.969062857;NA;-15.160821946*;4;4
65andup;American Indian or Alaska Native;39;314.002458083;332.787416331;1.795275784;NA;-15.160821946*;4;4
65andup;American Indian or Alaska Native;40;285.661192294;282.334108682;1.594432010;Joinpoint 4;NA;4;4
65andup;American Indian or Alaska Native;41;287.480052201;292.379783051;1.592417735;NA;3.558080324*;4;4
65andup;American Indian or Alaska Native;42;289.524424659;302.782890583;1.602388402;NA;3.558080324*;4;4
65andup;American Indian or Alaska Native;43;294.072290815;313.556149037;1.621828571;NA;3.558080324*;4;4
65andup;American Indian or Alaska Native;44;358.308956562;324.712728680;1.987099061;NA;3.558080324*;4;4
65andup;American Indian or Alaska Native;45;369.149640684;336.266268389;2.045877832;NA;3.558080324*;4;4
65andup;American Indian or Alaska Native;46;382.449311187;348.230892321;2.130413019;NA;3.558080324*;4;4
65andup;American Indian or Alaska Native;47;363.390855824;360.621227182;2.067714545;NA;3.558080324*;4;4
65andup;American Indian or Alaska Native;48;365.139345252;373.452420111;2.090388841;NA;3.558080324*;4;4
65andup;American Indian or Alaska Native;49;434.620404027;386.740157190;2.503749525;NA;3.558080324*;4;4
65andup;American Indian or Alaska Native;50;323.195718778;400.500682628;1.869019207;NA;3.558080324*;4;4
65andup;Asian;1;252.268849047;208.631379034;0.192618860;NA;-0.670554454*;5;5
65andup;Asian;2;202.615514120;207.232392029;0.153605004;NA;-0.670554454*;5;5
65andup;Asian;3;218.404847322;205.842785993;0.165307308;NA;-0.670554454*;5;5
65andup;Asian;4;196.565813577;204.462498022;0.147226419;NA;-0.670554454*;5;5
65andup;Asian;5;192.853888424;203.091465634;0.144431779;NA;-0.670554454*;5;5
65andup;Asian;6;180.851942447;201.729626765;0.134251165;NA;-0.670554454*;5;5
65andup;Asian;7;185.962889932;200.376919767;0.137588305;NA;-0.670554454*;5;5
65andup;Asian;8;179.565311576;199.033283406;0.132382989;NA;-0.670554454*;5;5
65andup;Asian;9;177.927260734;197.698656858;0.130560100;NA;-0.670554454*;5;5
65andup;Asian;10;190.022470107;196.372979708;0.138238217;NA;-0.670554454*;5;5
65andup;Asian;11;197.659585284;195.056191945;0.143737757;NA;-0.670554454*;5;5
65andup;Asian;12;210.785615419;193.748233961;0.152361161;NA;-0.670554454*;5;5
65andup;Asian;13;213.884439136;192.449046548;0.154217477;NA;-0.670554454*;5;5
65andup;Asian;14;201.868942525;191.158570894;0.144817388;NA;-0.670554454*;5;5
65andup;Asian;15;218.722188525;189.876748582;0.155924142;NA;-0.670554454*;5;5
65andup;Asian;16;191.207373748;188.603521586;0.135473050;NA;-0.670554454*;5;5
65andup;Asian;17;188.140244646;187.338832271;0.132665230;NA;-0.670554454*;5;5
65andup;Asian;18;179.088930864;186.082623386;0.125331741;NA;-0.670554454*;5;5
65andup;Asian;19;180.837199117;184.834838066;0.125825049;NA;-0.670554454*;5;5
65andup;Asian;20;175.818449553;183.595419826;0.121947780;NA;-0.670554454*;5;5
65andup;Asian;21;171.959226833;182.364312561;0.118887974;NA;-0.670554454*;5;5
65andup;Asian;22;191.158641730;181.141460539;0.131926471;Joinpoint 1;NA;5;5
65andup;Asian;23;195.805383738;192.917546775;0.134161499;NA;6.501044101*;5;5
65andup;Asian;24;210.700185034;205.459201570;0.143441054;NA;6.501044101*;5;5
65andup;Asian;25;221.982075162;218.816194875;0.149756412;NA;6.501044101*;5;5
65andup;Asian;26;205.303732338;233.041532204;0.138539288;NA;6.501044101*;5;5
65andup;Asian;27;236.589986290;248.191664988;0.158745569;NA;6.501044101*;5;5
65andup;Asian;28;341.801657318;264.326714585;0.227824377;Joinpoint 2;NA;5;5
65andup;Asian;29;243.824485600;250.784429072;0.161684956;NA;-5.123313220*;5;5
65andup;Asian;30;202.714760787;237.935957263;0.134238926;NA;-5.123313220*;5;5
65andup;Asian;31;213.372700991;225.745752910;0.140341371;NA;-5.123313220*;5;5
65andup;Asian;32;220.464189155;214.180090907;0.144407737;NA;-5.123313220*;5;5
65andup;Asian;33;201.138904915;203.206973995;0.130919309;NA;-5.123313220*;5;5
65andup;Asian;34;205.982195206;192.796044232;0.133555676;Joinpoint 3;NA;5;5
