"age_grp";"race_eth";"Model";"#Obs";"#Param";"DF";"SSE";"MSE";"Auto Corr";"Segment";"Joinpoint";"Joinpoint 95% LCL";"Joinpoint 95% UCL";"Intercept Estimate";"Intercept Std Error";"Intercept Test Statistic";"Intercept P-Value";"Slope Estimate";"Slope Std Error";"Slope Test Statistic";"Slope P-Value";"SlopeChg Estimate";"SlopeChg Std Error";"SlopeChg Test Statistic";"SlopeChg P-Value";"Covar-Int vs Int";"Covar-Int vs Slope";"Covar-Slope vs Slope";"Corr-Int vs Int";"Corr-Int vs Slope";"Corr-Slope vs Slope"
65andup;American Indian or Alaska Native;4;50;10;40;8397.849238;209.946231;Uncorrelated;0;NA;NA;NA;5.751347;0.045567;126.218596;0.000000;-0.006508;0.003923;-1.659121;0.105780;NA;NA;NA;NA;0.002076;0.000000;0.013572;1.000000;0.000000;1.000000
65andup;American Indian or Alaska Native;4;50;10;40;8397.849238;209.946231;Uncorrelated;1;20;3;34;5.243647;0.193964;27.034177;0.000000;0.018877;0.007221;2.614288;0.012974;0.025385;0.008217;3.089192;0.003856;0.000015;0.000000;4.812635;1.000000;0.000000;1.000000
65andup;American Indian or Alaska Native;4;50;10;40;8397.849238;209.946231;Uncorrelated;2;33;25;38;1.090864;4.020660;0.271315;0.787699;0.144719;0.116497;1.242251;0.222176;0.125842;0.116721;1.078144;0.288141;0.037622;0.000000;0.003332;1.000000;0.000000;1.000000
65andup;American Indian or Alaska Native;4;50;10;40;8397.849238;209.946231;Uncorrelated;3;36;35;41;12.219601;2.193772;5.570133;0.000003;-0.164413;0.057726;-2.848173;0.007223;-0.309132;0.130015;-2.377663;0.022855;0.000052;0.000000;0.164453;1.000000;0.000000;1.000000
65andup;American Indian or Alaska Native;4;50;10;40;8397.849238;209.946231;Uncorrelated;4;40;38;48;4.244594;0.405528;10.466843;0.000000;0.034962;0.008913;3.922506;0.000378;0.199375;0.058410;3.413387;0.001601;16.165711;0.000000;0.000079;1.000000;0.000000;1.000000
65andup;Asian;5;50;12;38;821442.056547;21616.896225;Uncorrelated;0;NA;NA;NA;5.347297;0.041201;129.784175;0.000000;-0.006728;0.003200;-2.102224;0.043246;NA;NA;NA;NA;0.001698;0.000000;15.636835;1.000000;0.000000;1.000000
65andup;Asian;5;50;12;38;821442.056547;21616.896225;Uncorrelated;1;22;15;26;3.813617;0.657400;5.801064;0.000002;0.062985;0.026233;2.400975;0.022146;0.069713;0.026427;2.637892;0.012627;0.000010;0.000000;0.012403;1.000000;0.000000;1.000000
65andup;Asian;5;50;12;38;821442.056547;21616.896225;Uncorrelated;2;28;23;32;7.049767;0.789724;8.926879;0.000000;-0.052592;0.025433;-2.067899;0.046562;-0.115577;0.036537;-3.163239;0.003341;0.432174;0.000000;17.867178;1.000000;0.000000;1.000000
65andup;Asian;5;50;12;38;821442.056547;21616.896225;Uncorrelated;3;34;30;35;-2.379964;3.954344;-0.601861;0.551380;0.224753;0.111369;2.018089;0.051772;0.277345;0.114236;2.427821;0.020808;0.000688;0.000000;0.012051;1.000000;0.000000;1.000000
65andup;Asian;5;50;12;38;821442.056547;21616.896225;Uncorrelated;4;37;35;38;15.173546;4.226958;3.589708;0.001060;-0.249666;0.109778;-2.274288;0.029579;-0.474419;0.156379;-3.033787;0.004681;0.623663;0.000000;0.152267;1.000000;0.000000;1.000000
