"age_grp";"race_eth";"Model";"# Joinpoints";"# Observations";"# Parameters";"D.F.";"SSE";"BIC";"BIC3"
65andup;American Indian or Alaska Native;1;0;50;2;48;   30930.9315181;       6.5839699;       6.5839699
65andup;American Indian or Alaska Native;2;1;50;4;46;   28276.8087273;       6.6507361;       6.7289766
65andup;American Indian or Alaska Native;3;2;50;6;44;   23204.6437087;       6.6095275;       6.7660084
65andup;American Indian or Alaska Native;4;3;50;8;42;   11317.9090097;       6.0480423;       6.2827637
65andup;American Indian or Alaska Native;5;4;50;10;40;    8397.8492381;       5.9061125;       6.2190743
65andup;American Indian or Alaska Native;6;5;50;12;38;    7169.1882425;       5.9044102;       6.2956125
65andup;American Indian or Alaska Native;7;6;50;14;36;    6319.4588350;       5.9347323;       6.4041751
65andup;American Indian or Alaska Native;8;7;50;16;34;    5180.0766141;       5.8923995;       6.4400827
65andup;American Indian or Alaska Native;9;8;50;18;32;    4525.5345754;       5.9137963;       6.5397199
65andup;American Indian or Alaska Native;10;9;50;20;30;    4205.3633471;       5.9969022;       6.7010663
65andup;Asian;1;0;50;2;48; 2944120.6401334;      11.1397787;      11.1397787
65andup;Asian;2;1;50;4;46; 2779318.6083279;      11.2386552;      11.3168956
65andup;Asian;3;2;50;6;44; 2204279.5967207;      11.1633311;      11.3198120
65andup;Asian;4;3;50;8;42; 1399749.2629538;      10.8657044;      11.1004257
65andup;Asian;5;4;50;10;40; 1206793.7269874;      10.8738592;      11.1868210
65andup;Asian;6;5;50;12;38;  821442.0565467;      10.6456792;      11.0368815
65andup;Asian;7;6;50;14;36;  754094.2726583;      10.7166161;      11.1860589
65andup;Asian;8;7;50;16;34;  633573.1808605;      10.6989551;      11.2466384
65andup;Asian;9;8;50;18;32;  582516.7417808;      10.7714185;      11.3973422
65andup;Asian;10;9;50;20;30;  548342.5539031;      10.8674417;      11.5716058
65andup;Black or African American;1;0;50;2;48; 8164830.6462097;      12.1598045;      12.1598045
65andup;Black or African American;2;1;50;4;46; 7441534.1950760;      12.2235264;      12.3017669
65andup;Black or African American;3;2;50;6;44; 5605339.7458305;      12.0966500;      12.2531309
65andup;Black or African American;4;3;50;8;42; 5043063.8889675;      12.1474250;      12.3821464
65andup;Black or African American;5;4;50;10;40; 4652637.1236362;      12.2233263;      12.5362882
65andup;Black or African American;6;5;50;12;38; 3152978.3741608;      11.9907206;      12.3819229
65andup;Black or African American;7;6;50;14;36; 2843918.2372684;      12.0440368;      12.5134795
65andup;Black or African American;8;7;50;16;34; 2745732.1213703;      12.1653827;      12.7130659
65andup;Black or African American;9;8;50;18;32; 2614068.3772564;      12.2727236;      12.8986473
65andup;Black or African American;10;9;50;20;30; 2521087.9531250;      12.3929873;      13.0971514
65andup;hispanic;1;0;50;2;48;11766145.2960320;      12.5251948;      12.5251948
65andup;hispanic;2;1;50;4;46;10805761.8578053;      12.5965289;      12.6747694
65andup;hispanic;3;2;50;6;44; 8361793.4760704;      12.4966032;      12.6530842
65andup;hispanic;4;3;50;8;42; 5045292.7951736;      12.1478669;      12.3825883
65andup;hispanic;5;4;50;10;40; 4239681.1968365;      12.1303802;      12.4433421
65andup;hispanic;6;5;50;12;38; 3172574.1487942;      11.9969164;      12.3881187
65andup;hispanic;7;6;50;14;36; 2869270.5614433;      12.0529118;      12.5223546
65andup;hispanic;8;7;50;16;34; 2747663.4725075;      12.1660858;      12.7137690
65andup;hispanic;9;8;50;18;32; 2599542.0342121;      12.2671511;      12.8930748
65andup;hispanic;10;9;50;20;30; 2543584.1032810;      12.4018709;      13.1060350
65andup;More than one race;1;0;50;2;48;   34822.8162912;       6.7024860;       6.7024860
65andup;More than one race;2;1;50;4;46;   30108.8209634;       6.7135123;       6.7917528
65andup;More than one race;3;2;50;6;44;   27966.5866639;       6.7961855;       6.9526664
65andup;More than one race;4;3;50;8;42;   19026.2163762;       6.5674738;       6.8021952
65andup;More than one race;5;4;50;10;40;   15555.3076378;       6.5225388;       6.8355006
65andup;More than one race;6;5;50;12;38;   14266.8890926;       6.5925592;       6.9837615
65andup;More than one race;7;6;50;14;36;   13428.3587911;       6.6884675;       7.1579103
65andup;More than one race;8;7;50;16;34;   12529.4814525;       6.7756640;       7.3233472
65andup;More than one race;9;8;50;18;32;   11759.8022746;       6.8687477;       7.4946714
65andup;More than one race;10;9;50;20;30;   11504.1869258;       7.0032525;       7.7074167
65andup;Native Hawaiian or Other Pacific Islander;1;0;50;2;48;    1219.5168948;       3.3506680;       3.3506680
65andup;Native Hawaiian or Other Pacific Islander;2;1;50;4;46;    1097.5966594;       3.4018170;       3.4800575
65andup;Native Hawaiian or Other Pacific Islander;3;2;50;6;44;    1013.2069972;       3.4782956;       3.6347765
65andup;Native Hawaiian or Other Pacific Islander;4;3;50;8;42;     646.8039720;       3.1859439;       3.4206653
65andup;Native Hawaiian or Other Pacific Islander;5;4;50;10;40;     567.1365241;       3.2109817;       3.5239435
65andup;Native Hawaiian or Other Pacific Islander;6;5;50;12;38;     547.0833217;       3.3314636;       3.7226659
65andup;Native Hawaiian or Other Pacific Islander;7;6;50;14;36;     490.8318801;       3.3794451;       3.8488879
65andup;Native Hawaiian or Other Pacific Islander;8;7;50;16;34;     459.7584898;       3.4705257;       4.0182089
65andup;Native Hawaiian or Other Pacific Islander;9;8;50;18;32;     446.3701650;       3.5974539;       4.2233775
65andup;Native Hawaiian or Other Pacific Islander;10;9;50;20;30;     422.2232521;       3.6983204;       4.4024845
65andup;White;1;0;50;2;48;341486830.6014404;      15.8932776;      15.8932776
65andup;White;2;1;50;4;46;290660640.3662109;      15.8886058;      15.9668463
65andup;White;3;2;50;6;44;278800331.0385742;      16.0034262;      16.1599071
65andup;White;4;3;50;8;42;170105622.9683838;      15.6658308;      15.9005522
65andup;White;5;4;50;10;40;129405856.5905762;      15.5488458;      15.8618076
65andup;White;6;5;50;12;38;122082246.1120605;      15.6470680;      16.0382703
65andup;White;7;6;50;14;36;107589639.8923340;      15.6771784;      16.1466211
65andup;White;8;7;50;16;34;85162072.2231445;      15.5998911;      16.1475743
65andup;White;9;8;50;18;32;79860089.2857666;      15.6920921;      16.3180157
65andup;White;10;9;50;20;30;75747359.1623535;      15.7957003;      16.4998645
all_ages;American Indian or Alaska Native;1;0;50;2;48;     418.4507109;       2.2810170;       2.2810170
all_ages;American Indian or Alaska Native;2;1;50;4;46;     375.5823320;       2.3294165;       2.4076570
all_ages;American Indian or Alaska Native;3;2;50;6;44;     254.8293021;       2.0980137;       2.2544946
all_ages;American Indian or Alaska Native;4;3;50;8;42;     166.6707628;       1.8299211;       2.0646424
all_ages;American Indian or Alaska Native;5;4;50;10;40;     113.5141597;       1.6023092;       1.9152710
all_ages;American Indian or Alaska Native;6;5;50;12;38;     103.9834950;       1.6710947;       2.0622970
all_ages;American Indian or Alaska Native;7;6;50;14;36;      93.6752137;       1.7231771;       2.1926198
all_ages;American Indian or Alaska Native;8;7;50;16;34;      86.6947574;       1.8022178;       2.3499010
all_ages;American Indian or Alaska Native;9;8;50;18;32;      77.2025775;       1.8427381;       2.4686618
all_ages;American Indian or Alaska Native;10;9;50;20;30;      71.7700979;       1.9262541;       2.6304183
all_ages;Asian;1;0;50;2;48;   40564.5023854;       6.8551066;       6.8551066
all_ages;Asian;2;1;50;4;46;   38400.0517113;       6.9567529;       7.0349934
all_ages;Asian;3;2;50;6;44;   31713.4029466;       6.9219144;       7.0783954
all_ages;Asian;4;3;50;8;42;   20121.3111147;       6.6234355;       6.8581568
all_ages;Asian;5;4;50;10;40;   17595.7561902;       6.6457946;       6.9587565
all_ages;Asian;6;5;50;12;38;   11595.5841561;       6.3852421;       6.7764444
all_ages;Asian;7;6;50;14;36;   10725.9008688;       6.4637602;       6.9332029
all_ages;Asian;8;7;50;16;34;    9352.0771196;       6.4831781;       7.0308613
all_ages;Asian;9;8;50;18;32;    8662.4707258;       6.5630605;       7.1889842
all_ages;Asian;10;9;50;20;30;    8042.0852573;       6.6452299;       7.3493940
all_ages;Black or African American;1;0;50;2;48;  110871.0458324;       7.8605810;       7.8605810
all_ages;Black or African American;2;1;50;4;46;  100457.2077746;       7.9184260;       7.9966664
all_ages;Black or African American;3;2;50;6;44;   70287.6122723;       7.7177706;       7.8742515
all_ages;Black or African American;4;3;50;8;42;   64884.7726151;       7.7942689;       8.0289903
all_ages;Black or African American;5;4;50;10;40;   60396.6126485;       7.8790699;       8.1920317
all_ages;Black or African American;6;5;50;12;38;   49232.2815373;       7.8311673;       8.2223696
all_ages;Black or African American;7;6;50;14;36;   45373.1727882;       7.9060197;       8.3754625
all_ages;Black or African American;8;7;50;16;34;   42158.4505069;       7.9890148;       8.5366980
all_ages;Black or African American;9;8;50;18;32;   41546.7475965;       8.1308798;       8.7568035
all_ages;Black or African American;10;9;50;20;30;   40022.1925762;       8.2499756;       8.9541397
all_ages;hispanic;1;0;50;2;48;  205787.2916777;       8.4790563;       8.4790563
all_ages;hispanic;2;1;50;4;46;  189561.4781582;       8.5534075;       8.6316480
all_ages;hispanic;3;2;50;6;44;  141678.8501756;       8.4187379;       8.5752188
all_ages;hispanic;4;3;50;8;42;   91826.7392526;       8.1415595;       8.3762809
all_ages;hispanic;5;4;50;10;40;   79753.2213657;       8.1570740;       8.4700358
all_ages;hispanic;6;5;50;12;38;   59725.6456913;       8.0243793;       8.4155816
all_ages;hispanic;7;6;50;14;36;   55224.2912782;       8.1025016;       8.5719444
all_ages;hispanic;8;7;50;16;34;   51725.5714029;       8.1935319;       8.7412151
all_ages;hispanic;9;8;50;18;32;   49694.0918290;       8.3099466;       8.9358703
all_ages;hispanic;10;9;50;20;30;   48716.3394691;       8.4465560;       9.1507201
all_ages;More than one race;1;0;50;2;48;     543.7406120;       2.5429302;       2.5429302
all_ages;More than one race;2;1;50;4;46;     456.2175878;       2.5239087;       2.6021492
all_ages;More than one race;3;2;50;6;44;     403.0632023;       2.5565131;       2.7129941
all_ages;More than one race;4;3;50;8;42;     316.4731998;       2.4711392;       2.7058606
all_ages;More than one race;5;4;50;10;40;     275.6384947;       2.4894718;       2.8024336
all_ages;More than one race;6;5;50;12;38;     247.4987901;       2.5382682;       2.9294705
all_ages;More than one race;7;6;50;14;36;     220.9819629;       2.5814245;       3.0508673
all_ages;More than one race;8;7;50;16;34;     201.9443113;       2.6478163;       3.1954995
all_ages;More than one race;9;8;50;18;32;     190.4064881;       2.7454665;       3.3713902
