"age_grp";"race";"Model";"#Obs";"#Param";"DF";"SSE";"MSE";"Auto Corr";"Segment";"Joinpoint";"Joinpoint 95% LCL";"Joinpoint 95% UCL";"Intercept Estimate";"Intercept Std Error";"Intercept Test Statistic";"Intercept P-Value";"Slope Estimate";"Slope Std Error";"Slope Test Statistic";"Slope P-Value";"SlopeChg Estimate";"SlopeChg Std Error";"SlopeChg Test Statistic";"SlopeChg P-Value";"Covar-Int vs Int";"Covar-Int vs Slope";"Covar-Slope vs Slope";"Corr-Int vs Int";"Corr-Int vs Slope";"Corr-Slope vs Slope"
65andup;aian;4;50;10;40;2799.683573;69.992089;Uncorrelated;0;NA;NA;NA;-0.172165;0.016594;-10.375010;0.000000;-0.001755;0.001109;-1.582160;0.122360;NA;NA;NA;NA;0.000275;0.000000;0.000541;1.000000;0.000000;1.000000
65andup;aian;4;50;10;40;2799.683573;69.992089;Uncorrelated;1;26;21;29;-0.903331;0.139763;-6.463302;0.000000;0.026367;0.004459;5.912936;0.000001;0.028122;0.004595;6.119995;0.000000;0.000001;0.000000;0.241050;1.000000;0.000000;1.000000
65andup;aian;4;50;10;40;2799.683573;69.992089;Uncorrelated;2;36;34;38;2.390063;0.879751;2.716748;0.010069;-0.065116;0.023252;-2.800408;0.008157;-0.091483;0.023676;-3.863944;0.000448;0.019534;0.000000;0.000129;1.000000;0.000000;1.000000
65andup;aian;4;50;10;40;2799.683573;69.992089;Uncorrelated;3;40;38;42;-1.172947;0.490968;-2.389047;0.022255;0.023959;0.011374;2.106563;0.042191;0.089075;0.025885;3.441197;0.001483;0.000020;0.000000;0.584924;1.000000;0.000000;1.000000
65andup;aian;4;50;10;40;2799.683573;69.992089;Uncorrelated;4;46;42;48;1.312144;0.764803;1.715662;0.094820;-0.030065;0.015773;-1.906103;0.064645;-0.054024;0.019446;-2.778167;0.008629;0.773962;0.000000;0.000249;1.000000;0.000000;1.000000
65andup;asian;5;50;12;38;21768.798962;572.863131;Uncorrelated;0;NA;NA;NA;-0.582075;0.011457;-50.806889;0.000000;-0.001367;0.000798;-1.712580;0.096173;NA;NA;NA;NA;0.000131;0.000000;1.222555;1.000000;0.000000;1.000000
65andup;asian;5;50;12;38;21768.798962;572.863131;Uncorrelated;1;25;21;26;-2.836755;0.940304;-3.016848;0.004890;0.088820;0.035428;2.507023;0.017277;0.090187;0.035437;2.544970;0.015789;0.000001;0.000000;0.000965;1.000000;0.000000;1.000000
65andup;asian;5;50;12;38;21768.798962;572.863131;Uncorrelated;2;28;27;29;1.240063;0.242653;5.110431;0.000013;-0.056781;0.007832;-7.249673;0.000000;-0.145601;0.036284;-4.012824;0.000324;0.884172;0.000000;0.055585;1.000000;0.000000;1.000000
65andup;asian;5;50;12;38;21768.798962;572.863131;Uncorrelated;3;34;32;35;-4.607932;1.105692;-4.167464;0.000209;0.115219;0.031064;3.709123;0.000762;0.172000;0.032036;5.368977;0.000006;0.001255;0.000000;0.000034;1.000000;0.000000;1.000000
65andup;asian;5;50;12;38;21768.798962;572.863131;Uncorrelated;4;37;36;38;1.569582;0.235765;6.657399;0.000000;-0.051741;0.005845;-8.852408;0.000000;-0.166960;0.031609;-5.282069;0.000008;0.058881;0.000000;0.074306;1.000000;0.000000;1.000000
