"age_grp";"race";"Model";"# Joinpoints";"# Observations";"# Parameters";"D.F.";"SSE";"BIC";"BIC3"
65andup;aian;1;0;50;2;48;   14228.5154792;       5.8074613;       5.8074613
65andup;aian;2;1;50;4;46;   11626.0421295;       5.7619417;       5.8401822
65andup;aian;3;2;50;6;44;    6718.6501285;       5.3700623;       5.5265432
65andup;aian;4;3;50;8;42;    3843.4374536;       4.9680231;       5.2027445
65andup;aian;5;4;50;10;40;    2799.6835733;       4.8076433;       5.1206051
65andup;aian;6;5;50;12;38;    2690.8795242;       4.9244859;       5.3156882
65andup;aian;7;6;50;14;36;    2158.6200126;       4.8605678;       5.3300106
65andup;aian;8;7;50;16;34;    2152.8866893;       5.0143892;       5.5620724
65andup;aian;9;8;50;18;32;    2076.9692806;       5.1349703;       5.7608940
65andup;aian;10;9;50;20;30;    1892.0252819;       5.1981893;       5.9023534
65andup;asian;1;0;50;2;48;  139165.3621178;       8.0878761;       8.0878761
65andup;asian;2;1;50;4;46;  118508.1302803;       8.0836757;       8.1619161
65andup;asian;3;2;50;6;44;   95555.7738660;       8.0248851;       8.1813661
65andup;asian;4;3;50;8;42;   76483.2779859;       7.9587281;       8.1934495
65andup;asian;5;4;50;10;40;   60131.2732812;       7.8746669;       8.1876288
65andup;asian;6;5;50;12;38;   21768.7989623;       7.0150955;       7.4062978
65andup;asian;7;6;50;14;36;   19071.2713346;       7.0392818;       7.5087246
65andup;asian;8;7;50;16;34;   18074.2349453;       7.1420671;       7.6897503
65andup;asian;9;8;50;18;32;   17904.2452071;       7.2890984;       7.9150221
65andup;asian;10;9;50;20;30;   17308.4550434;       7.4117366;       8.1159007
65andup;black;1;0;50;2;48;  484554.3149014;       9.3354427;       9.3354427
65andup;black;2;1;50;4;46;  348440.9438308;       9.1621629;       9.2404033
65andup;black;3;2;50;6;44;  212147.6419693;       8.8224575;       8.9789384
65andup;black;4;3;50;8;42;  132872.5787946;       8.5110466;       8.7457679
65andup;black;5;4;50;10;40;  112111.2862534;       8.4976289;       8.8105907
65andup;black;6;5;50;12;38;  103304.9231610;       8.5723028;       8.9635051
65andup;black;7;6;50;14;36;   99243.0522450;       8.6886706;       9.1581134
65andup;black;8;7;50;16;34;   94899.3758532;       8.8003968;       9.3480800
65andup;black;9;8;50;18;32;   93400.5123947;       8.9409574;       9.5668811
65andup;black;10;9;50;20;30;   89483.0207002;       9.0545904;       9.7587545
65andup;hisp;1;0;50;2;48;  507229.7945390;       9.3811773;       9.3811773
65andup;hisp;2;1;50;4;46;  371874.3377761;       9.2272501;       9.3054906
65andup;hisp;3;2;50;6;44;  250455.7255236;       8.9884572;       9.1449381
65andup;hisp;4;3;50;8;42;  229114.3940476;       9.0558774;       9.2905988
65andup;hisp;5;4;50;10;40;  179180.1038522;       8.9665283;       9.2794902
65andup;hisp;6;5;50;12;38;   82864.0173403;       8.3518187;       8.7430210
65andup;hisp;7;6;50;14;36;   77350.0951860;       8.4394405;       8.9088833
65andup;hisp;8;7;50;16;34;   72106.6784534;       8.5257263;       9.0734095
65andup;hisp;9;8;50;18;32;   70414.8176510;       8.6584643;       9.2843880
65andup;hisp;10;9;50;20;30;   69594.2054414;       8.8032228;       9.5073869
65andup;multirace;1;0;50;2;48;    4370.2717202;       4.6270384;       4.6270384
65andup;multirace;2;1;50;4;46;    3991.8169527;       4.6929406;       4.7711811
65andup;multirace;3;2;50;6;44;    3603.0329003;       4.7469510;       4.9034319
65andup;multirace;4;3;50;8;42;    3511.1005665;       4.8775855;       5.1123069
65andup;multirace;5;4;50;10;40;    3205.7186498;       4.9430732;       5.2560350
65andup;multirace;6;5;50;12;38;    3109.4477836;       5.0690629;       5.4602652
65andup;multirace;7;6;50;14;36;    3013.9820103;       5.1943608;       5.6638036
65andup;multirace;8;7;50;16;34;    2939.3347911;       5.3257629;       5.8734462
65andup;multirace;9;8;50;18;32;    2876.4501541;       5.4606175;       6.0865412
65andup;multirace;10;9;50;20;30;    2785.2051661;       5.5848630;       6.2890272
65andup;nhopi;1;0;50;2;48;    3279.7171530;       4.3399704;       4.3399704
65andup;nhopi;2;1;50;4;46;    3024.1379054;       4.4153202;       4.4935606
65andup;nhopi;3;2;50;6;44;    2892.7417784;       4.5273798;       4.6838607
65andup;nhopi;4;3;50;8;42;    2554.6622032;       4.5595760;       4.7942973
65andup;nhopi;5;4;50;10;40;    2512.8034978;       4.6995359;       5.0124978
65andup;nhopi;6;5;50;12;38;    2268.8374748;       4.7538854;       5.1450877
65andup;nhopi;7;6;50;14;36;    2147.3106640;       4.8553149;       5.3247577
65andup;nhopi;8;7;50;16;34;    2074.5654583;       4.9773313;       5.5250146
65andup;nhopi;9;8;50;18;32;    1984.7346994;       5.0895458;       5.7154695
65andup;nhopi;10;9;50;20;30;    1876.0081121;       5.1896877;       5.8938518
all_ages;aian;1;0;50;2;48;     454.8079701;       2.3643332;       2.3643332
all_ages;aian;2;1;50;4;46;     351.5018658;       2.2631539;       2.3413943
all_ages;aian;3;2;50;6;44;     136.6946425;       1.4751693;       1.6316502
all_ages;aian;4;3;50;8;42;     114.1101635;       1.4510650;       1.6857864
all_ages;aian;5;4;50;10;40;      86.4776099;       1.3302671;       1.6432290
all_ages;aian;6;5;50;12;38;      50.2596712;       0.9440655;       1.3352678
