"age_grp";"race";"Model";"Segment";"Segment Start";"Segment End";"MPC";"MPC 95% LCL";"MPC 95% UCL";"MPC Significant";"Test Statistic";"P-Value"
65andup;aian;4;0;1;26;-0.2;-0.4;0.0;0;-1.6;0.122
65andup;aian;4;1;26;36;2.7;1.7;3.6;1;5.9;0.000
65andup;aian;4;2;36;40;-6.3;-10.6;-1.8;1;-2.8;0.008
65andup;aian;4;3;40;46;2.4;0.1;4.8;1;2.1;0.042
65andup;aian;4;4;46;50;-3.0;-6.0;0.2;0;-1.9;0.065
65andup;asian;5;0;1;25;-0.1;-0.3;0.0;0;-1.7;0.096
65andup;asian;5;1;25;28;9.3;1.7;17.5;1;2.5;0.017
65andup;asian;5;2;28;34;-5.5;-7.0;-4.0;1;-7.2;0.000
65andup;asian;5;3;34;37;12.2;5.3;19.5;1;3.7;0.001
65andup;asian;5;4;37;44;-5.0;-6.2;-3.9;1;-8.9;0.000
65andup;asian;5;5;44;50;3.5;2.3;4.7;1;6.0;0.000
65andup;black;4;0;1;25;-0.1;-0.3;0.1;0;-0.9;0.372
65andup;black;4;1;25;28;12.1;1.0;24.3;1;2.2;0.032
65andup;black;4;2;28;34;-5.4;-7.5;-3.3;1;-5.1;0.000
65andup;black;4;3;34;38;2.7;-1.9;7.4;0;1.2;0.246
65andup;black;4;4;38;50;-1.2;-1.8;-0.6;1;-4.0;0.000
65andup;hisp;5;0;1;25;0.0;-0.4;0.4;0;0.0;0.961
65andup;hisp;5;1;25;31;6.7;2.9;10.6;1;3.7;0.001
65andup;hisp;5;2;31;34;-11.4;-23.8;3.0;0;-1.6;0.111
65andup;hisp;5;3;34;37;13.8;-0.2;29.7;0;2.0;0.054
65andup;hisp;5;4;37;40;-11.6;-23.5;2.2;0;-1.7;0.092
65andup;hisp;5;5;40;50;0.9;-0.3;2.1;0;1.6;0.127
65andup;multirace;0;0;1;50;0.0;-0.1;0.1;0;0.4;0.716
65andup;nhopi;0;0;1;50;0.3;0.1;0.4;1;3.4;0.001
all_ages;aian;5;0;1;27;-0.0;-0.2;0.1;0;-0.5;0.587
all_ages;aian;5;1;27;30;7.9;0.4;15.9;1;2.1;0.039
all_ages;aian;5;2;30;37;0.3;-0.8;1.4;0;0.6;0.579
all_ages;aian;5;3;37;40;-4.9;-11.4;2.1;0;-1.4;0.157
all_ages;aian;5;4;40;46;2.5;1.0;4.1;1;3.3;0.002
all_ages;aian;5;5;46;50;-4.7;-6.8;-2.6;1;-4.4;0.000
all_ages;asian;5;0;1;25;-0.1;-0.3;0.1;0;-1.4;0.179
all_ages;asian;5;1;25;28;8.8;0.7;17.7;1;2.2;0.035
all_ages;asian;5;2;28;34;-5.4;-7.0;-3.8;1;-6.6;0.000
all_ages;asian;5;3;34;37;13.3;5.7;21.3;1;3.7;0.001
all_ages;asian;5;4;37;42;-7.4;-9.5;-5.2;1;-6.6;0.000
all_ages;asian;5;5;42;50;2.0;1.2;2.9;1;5.0;0.000
all_ages;black;4;0;1;25;-0.0;-0.2;0.2;0;-0.3;0.769
all_ages;black;4;1;25;28;10.1;0.1;21.1;1;2.1;0.047
all_ages;black;4;2;28;35;-3.9;-5.4;-2.4;1;-5.3;0.000
all_ages;black;4;3;35;38;4.1;-3.9;12.8;0;1.0;0.313
all_ages;black;4;4;38;50;-1.3;-1.8;-0.7;1;-4.8;0.000
all_ages;hisp;5;0;1;25;0.1;-0.3;0.4;0;0.4;0.714
all_ages;hisp;5;1;25;31;6.6;3.0;10.3;1;3.8;0.001
all_ages;hisp;5;2;31;34;-10.4;-22.3;3.2;0;-1.6;0.123
all_ages;hisp;5;3;34;37;13.7;0.2;29.0;1;2.1;0.046
all_ages;hisp;5;4;37;40;-11.8;-23.1;1.2;0;-1.9;0.073
all_ages;hisp;5;5;40;50;1.0;-0.1;2.1;0;1.8;0.080
all_ages;multirace;0;0;1;50;0.1;0.0;0.2;1;3.2;0.003
all_ages;nhopi;0;0;1;50;0.5;0.3;0.6;1;6.9;0.000
under65;aian;5;0;1;27;0.2;-0.0;0.3;0;1.7;0.097
under65;aian;5;1;27;30;9.0;-0.3;19.2;0;2.0;0.058
under65;aian;5;2;30;37;0.7;-0.7;2.0;0;1.0;0.309
under65;aian;5;3;37;40;-6.2;-14.0;2.3;0;-1.5;0.144
under65;aian;5;4;40;46;2.5;0.7;4.3;1;2.8;0.009
under65;aian;5;5;46;50;-3.4;-6.1;-0.7;1;-2.6;0.015
under65;asian;5;0;1;25;-0.0;-0.3;0.2;0;-0.3;0.774
under65;asian;5;1;25;28;9.4;-1.9;22.0;0;1.7;0.102
under65;asian;5;2;28;31;-11.3;-20.1;-1.4;1;-2.3;0.027
under65;asian;5;3;31;37;5.3;3.0;7.7;1;4.7;0.000
under65;asian;5;4;37;42;-6.1;-9.0;-3.0;1;-4.0;0.000
under65;asian;5;5;42;50;1.0;-0.1;2.2;0;1.8;0.085
under65;black;2;0;1;25;0.1;-0.1;0.3;0;0.9;0.393
under65;black;2;1;25;28;5.9;-3.5;16.1;0;1.2;0.220
under65;black;2;2;28;50;-0.8;-1.0;-0.6;1;-8.0;0.000
under65;hisp;5;0;1;25;0.2;-0.1;0.6;0;1.3;0.219
under65;hisp;5;1;25;31;6.2;2.6;9.8;1;3.6;0.001
under65;hisp;5;2;31;34;-8.0;-20.1;5.8;0;-1.2;0.233
under65;hisp;5;3;34;37;13.9;-0.1;29.9;0;2.0;0.052
under65;hisp;5;4;37;40;-12.7;-24.0;0.2;0;-2.0;0.053
under65;hisp;5;5;40;50;1.3;0.2;2.5;1;2.4;0.020
under65;multirace;0;0;1;50;0.2;0.2;0.3;1;5.3;0.000
under65;nhopi;4;0;1;26;0.0;-0.4;0.5;0;0.2;0.849
under65;nhopi;4;1;26;31;4.7;-1.9;11.8;0;1.4;0.161
under65;nhopi;4;2;31;41;-1.3;-3.0;0.5;0;-1.5;0.147
under65;nhopi;4;3;41;44;11.9;-7.0;34.8;0;1.2;0.226
under65;nhopi;4;4;44;50;-5.9;-8.7;-3.0;1;-4.1;0.000
