geography,sex,educ,age_grp,year,month,date,race,rr,var,sd,month_from_start,rr_lower,rr_upper
all,all,all,65andup,2018,1,2018-01-01,aian,0.8538578018129934,1.2918240645334848e-5,0.0035941954100097073,1,0.846842159346295,0.8609315651923996
all,all,all,65andup,2018,2,2018-02-01,aian,0.7899109976024434,1.4552552775940002e-5,0.003814780829345246,2,0.7824693027409263,0.7974234668984566
all,all,all,65andup,2018,3,2018-03-01,aian,0.8777929010068923,1.5607670621287927e-5,0.003950654454807194,3,0.8700836710181886,0.8855704373309502
all,all,all,65andup,2018,4,2018-04-01,aian,0.8145355802393583,1.5352534124024433e-5,0.003918230994214664,4,0.8068919376115241,0.8222516306703923
all,all,all,65andup,2018,5,2018-05-01,aian,0.826034082468958,1.5937219102591427e-5,0.003992144674556701,5,0.8182464214271944,0.8338958625815949
all,all,all,65andup,2018,6,2018-06-01,aian,0.8548477874016783,1.7360121397215986e-5,0.00416654789930657,6,0.8467202369216906,0.8630533531149442
all,all,all,65andup,2018,7,2018-07-01,aian,0.8960147728256876,1.7839880669454045e-5,0.004223728290202158,7,0.8877743914812724,0.9043316419414927
all,all,all,65andup,2018,8,2018-08-01,aian,0.7807707287940772,1.5245278707990643e-5,0.0039045202916607622,8,0.7731552521999484,0.7884612168216673
all,all,all,65andup,2018,9,2018-09-01,aian,0.8485450507197645,1.713578420620527e-5,0.004139539129686452,9,0.8404702199268389,0.8566974605759197
all,all,all,65andup,2018,10,2018-10-01,aian,0.7681282459880437,1.4061920865924804e-5,0.0037499227813282774,10,0.7608134490281167,0.7755133706408281
all,all,all,65andup,2018,11,2018-11-01,aian,0.8172213642663202,1.5252272463075973e-5,0.003905415786196903,11,0.8096024866542424,0.8249119403934405
all,all,all,65andup,2018,12,2018-12-01,aian,0.8227254034808555,1.4334970805176442e-5,0.0037861551480593662,12,0.8153379065531146,0.8301798359826925
all,all,all,65andup,2019,1,2019-01-01,aian,0.843648523754284,1.4017003983367298e-5,0.0037439289500960484,13,0.8363422442838817,0.8510186308264419
all,all,all,65andup,2019,2,2019-02-01,aian,0.85243309138419,1.5480723484424236e-5,0.003934555055457254,14,0.8447561414623578,0.8601798076648678
all,all,all,65andup,2019,3,2019-03-01,aian,0.7935667996954964,1.3217851254303965e-5,0.003635636292907194,15,0.7864728503496918,0.8007247361418074
all,all,all,65andup,2019,4,2019-04-01,aian,0.8593729204973467,1.5393615731069897e-5,0.003923469858565234,16,0.8517172237257323,0.8670974308275299
all,all,all,65andup,2019,5,2019-05-01,aian,0.8124596771419946,1.4731583514843654e-5,0.0038381745029171946,17,0.8049715759682846,0.8200174350102536
all,all,all,65andup,2019,6,2019-06-01,aian,0.7960146886073889,1.5088614053572848e-5,0.003884406525271634,18,0.7884375451567136,0.8036646508922569
all,all,all,65andup,2019,7,2019-07-01,aian,0.791236722370192,1.4990731208378431e-5,0.00387178656544733,19,0.7836842960182019,0.7988619320407864
all,all,all,65andup,2019,8,2019-08-01,aian,0.783226992700526,1.480539451190484e-5,0.0038477778667569728,20,0.7757215408390542,0.7908050631560153
all,all,all,65andup,2019,9,2019-09-01,aian,0.8224450278911593,1.5665525852492935e-5,0.003957969915561883,21,0.814723878542646,0.8302393506777318
all,all,all,65andup,2019,10,2019-10-01,aian,0.8207480220167892,1.4364406858948542e-5,0.0037900404824946846,22,0.8133530585599034,0.8282102200945488
all,all,all,65andup,2019,11,2019-11-01,aian,0.8017843434791087,1.4100501629960876e-5,0.003755063465503729,23,0.7944580959238045,0.8091781514300045
all,all,all,65andup,2019,12,2019-12-01,aian,0.7760996295970435,1.254924035346849e-5,0.0035424906991364832,24,0.7691873140294389,0.7830740628122413
all,all,all,65andup,2020,1,2020-01-01,aian,0.8545291587682431,1.3493714604145781e-5,0.003673379180556478,25,0.8473595815726259,0.86175939832997
all,all,all,65andup,2020,2,2020-02-01,aian,0.7893404736527986,1.3297065000285012e-5,0.0036465140888641873,26,0.7822255659943419,0.7965200965458231
all,all,all,65andup,2020,3,2020-03-01,aian,0.8061833698160044,1.2502549590043397e-5,0.0035358944540304646,27,0.7992827198915048,0.8131435968690911
all,all,all,65andup,2020,4,2020-04-01,aian,0.8237005232583947,1.136931991031962e-5,0.0033718422131410034,28,0.8171181540502018,0.8303359173371992
all,all,all,65andup,2020,5,2020-05-01,aian,0.9172793614545229,1.4234885227303476e-5,0.0037729146859296295,29,0.9099141768427879,0.9247041626166376
all,all,all,65andup,2020,6,2020-06-01,aian,0.9728653385172603,1.686118402284035e-5,0.004106237209762771,30,0.9648503122583014,0.9809469457215904
all,all,all,65andup,2020,7,2020-07-01,aian,0.9088551493773286,1.4210239178715697e-5,0.003769647089412442,31,0.9014965921835665,0.9162737715391043
all,all,all,65andup,2020,8,2020-08-01,aian,0.9141577705631772,1.4212664556468407e-5,0.0037699687739381088,32,0.9067984146777892,0.9215768531950738
