"age_grp";"race";"Model";"#Obs";"#Param";"DF";"SSE";"MSE";"Auto Corr";"Segment";"Joinpoint";"Joinpoint 95% LCL";"Joinpoint 95% UCL";"Intercept Estimate";"Intercept Std Error";"Intercept Test Statistic";"Intercept P-Value";"Slope Estimate";"Slope Std Error";"Slope Test Statistic";"Slope P-Value";"SlopeChg Estimate";"SlopeChg Std Error";"SlopeChg Test Statistic";"SlopeChg P-Value";"Covar-Int vs Int";"Covar-Int vs Slope";"Covar-Slope vs Slope";"Corr-Int vs Int";"Corr-Int vs Slope";"Corr-Slope vs Slope"
"65andup";"aian";3;48;8;40;3334.883721;83.372093;Uncorrelated;0;NA;NA;NA;-0.171755;0.017831;-9.632418;0.000000;-0.001801;0.001192;-1.511115;0.139253;NA;NA;NA;NA;0.000318;0.000000;3.280554;1.000000;0.000000;1.000000
"65andup";"aian";3;48;8;40;3334.883721;83.372093;Uncorrelated;1;26;21;29;-0.916271;0.150179;-6.101190;0.000000;0.026834;0.004792;5.600372;0.000002;0.028635;0.004938;5.799525;0.000001;0.000001;0.000000;0.002344;1.000000;0.000000;1.000000
"65andup";"aian";3;48;8;40;3334.883721;83.372093;Uncorrelated;2;36;34;38;2.783147;1.811230;1.536606;0.132898;-0.075927;0.048414;-1.568292;0.125327;-0.102762;0.048651;-2.112241;0.041477;0.022554;0.000000;0.049695;1.000000;0.000000;1.000000
"65andup";"aian";3;48;8;40;3334.883721;83.372093;Uncorrelated;3;39;38;42;-0.540724;0.222924;-2.425600;0.020279;0.009300;0.005030;1.848953;0.072467;0.085227;0.048675;1.750964;0.088240;0.000023;0.000000;0.000025;1.000000;0.000000;1.000000
"65andup";"asian";5;48;12;36;18795.509139;522.097476;Uncorrelated;0;NA;NA;NA;-0.582040;0.009866;-58.997382;0.000000;-0.001371;0.000688;-1.994835;0.054916;NA;NA;NA;NA;0.000097;0.000000;0.906557;1.000000;0.000000;1.000000
"65andup";"asian";5;48;12;36;18795.509139;522.097476;Uncorrelated;1;25;21;26;-2.845479;0.809714;-3.514179;0.001380;0.089166;0.030508;2.922704;0.006427;0.090538;0.030516;2.966905;0.005750;0.000000;0.000000;0.000716;1.000000;0.000000;1.000000
"65andup";"asian";5;48;12;36;18795.509139;522.097476;Uncorrelated;2;28;27;29;1.262733;0.208953;6.043135;0.000001;-0.057556;0.006744;-8.533807;0.000000;-0.146722;0.031245;-4.695896;0.000051;0.655636;0.000000;0.133433;1.000000;0.000000;1.000000
"65andup";"asian";5;48;12;36;18795.509139;522.097476;Uncorrelated;3;34;33;35;-4.854422;0.952133;-5.098472;0.000016;0.122361;0.026750;4.574304;0.000072;0.179916;0.027587;6.521851;0.000000;0.000931;0.000000;0.000086;1.000000;0.000000;1.000000
"65andup";"asian";5;48;12;36;18795.509139;522.097476;Uncorrelated;4;37;36;38;2.133260;0.365285;5.839991;0.000002;-0.066496;0.009274;-7.170476;0.000000;-0.188856;0.028311;-6.670672;0.000000;0.043661;0.000000;0.054330;1.000000;0.000000;1.000000
"65andup";"asian";5;48;12;36;18795.509139;522.097476;Uncorrelated;5;42;39;46;-0.977817;0.233089;-4.195042;0.000212;0.007578;0.005109;1.483164;0.148127;0.074073;0.010588;6.996110;0.000000;0.000045;0.000000;0.000026;1.000000;0.000000;1.000000
"65andup";"black";4;48;10;38;75548.952492;1988.130329;Uncorrelated;0;NA;NA;NA;0.080177;0.010069;7.963029;0.000000;-0.000981;0.000703;-1.396212;0.171701;NA;NA;NA;NA;0.000101;0.000000;0.000027;1.000000;0.000000;1.000000
"65andup";"black";4;48;10;38;75548.952492;1988.130329;Uncorrelated;1;25;24;26;-2.708816;0.845962;-3.202056;0.002958;0.110579;0.031867;3.470017;0.001434;0.111560;0.031875;3.499950;0.001321;0.000000;0.000000;0.930897;1.000000;0.000000;1.000000
"65andup";"black";4;48;10;38;75548.952492;1988.130329;Uncorrelated;2;28;27;29;1.767913;0.162321;10.891441;0.000000;-0.049304;0.005157;-9.561451;0.000000;-0.159883;0.032281;-4.952791;0.000020;0.715651;0.000000;0.000698;1.000000;0.000000;1.000000
"65andup";"black";4;48;10;38;75548.952492;1988.130329;Uncorrelated;3;35;30;36;-1.785626;0.964830;-1.850716;0.072915;0.052225;0.026422;1.976581;0.056246;0.101530;0.026920;3.771466;0.000620;0.001016;0.000000;0.011509;1.000000;0.000000;1.000000
"65andup";"black";4;48;10;38;75548.952492;1988.130329;Uncorrelated;4;38;36;46;0.975920;0.107282;9.096761;0.000000;-0.020447;0.002458;-8.317537;0.000000;-0.072672;0.026536;-2.738617;0.009750;0.026348;0.000000;0.000006;1.000000;0.000000;1.000000
"65andup";"hisp";5;48;12;36;69631.331779;1934.203661;Uncorrelated;0;NA;NA;NA;-0.343397;0.024113;-14.241314;0.000000;0.000088;0.001681;0.052303;0.958623;NA;NA;NA;NA;0.000581;0.000000;4.728305;1.000000;0.000000;1.000000
"65andup";"hisp";5;48;12;36;69631.331779;1934.203661;Uncorrelated;1;25;21;28;-1.965655;0.470992;-4.173438;0.000225;0.064978;0.016761;3.876771;0.000514;0.064890;0.016845;3.852209;0.000550;0.000003;0.000000;0.003735;1.000000;0.000000;1.000000
"65andup";"hisp";5;48;12;36;69631.331779;1934.203661;Uncorrelated;2;31;30;32;3.789016;2.274495;1.665872;0.105814;-0.120656;0.070086;-1.721536;0.095120;-0.185635;0.072063;-2.576014;0.014983;0.221833;0.000000;6.735038;1.000000;0.000000;1.000000
"65andup";"hisp";5;48;12;36;69631.331779;1934.203661;Uncorrelated;3;34;33;35;-4.643602;2.174467;-2.135513;0.040727;0.127362;0.061111;2.084120;0.045482;0.248018;0.092987;2.667230;0.012048;0.000281;0.000000;0.004553;1.000000;0.000000;1.000000
"65andup";"hisp";5;48;12;36;69631.331779;1934.203661;Uncorrelated;4;37;36;38;4.292487;2.595195;1.654013;0.108217;-0.114154;0.067478;-1.691733;0.100727;-0.241516;0.091037;-2.652943;0.012469;5.173326;0.000000;0.127970;1.000000;0.000000;1.000000
"65andup";"hisp";5;48;12;36;69631.331779;1934.203661;Uncorrelated;5;40;39;43;-0.258410;0.357728;-0.722365;0.475485;-0.000382;0.008000;-0.047702;0.962259;0.113772;0.067950;1.674350;0.104123;0.004912;0.000000;0.000064;1.000000;0.000000;1.000000
"65andup";"multirace";0;48;2;46;4363.717261;94.863419;Uncorrelated;0;NA;NA;NA;-0.898955;0.015551;-57.806147;0.000000;0.000224;0.000528;0.424461;0.673209;NA;NA;NA;NA;0.000242;-0.000007;0.000000;1.000000;-0.881704;1.000000
"65andup";"nhopi";0;48;2;46;3060.577375;66.534291;Uncorrelated;0;NA;NA;NA;-0.283125;0.025400;-11.146712;0.000000;0.002187;0.000847;2.581573;0.013087;NA;NA;NA;NA;0.000645;-0.000019;0.000001;1.000000;-0.887281;1.000000
"all_ages";"aian";5;48;12;36;50.001150;1.388921;Uncorrelated;0;NA;NA;NA;0.065000;0.011848;5.486006;0.000005;-0.000405;0.000762;-0.532037;0.598493;NA;NA;NA;NA;0.000140;0.000000;1.914637;1.000000;0.000000;1.000000
"all_ages";"aian";5;48;12;36;50.001150;1.388921;Uncorrelated;1;27;25;28;-1.989006;1.037388;-1.917322;0.064452;0.075669;0.036377;2.080120;0.045872;0.076074;0.036385;2.090805;0.044837;0.000001;0.000000;0.001293;1.000000;0.000000;1.000000
