"age_grp";"race";"Model";"# Joinpoints";"# Observations";"# Parameters";"D.F.";"SSE";"BIC";"BIC3"
"65andup";"aian";1;0;48;2;46;   13209.4427909;       5.7787862;       5.7787862
"65andup";"aian";2;1;48;4;44;   11583.1397933;       5.8087049;       5.8893549
"65andup";"aian";3;2;48;6;42;    6708.8539805;       5.4238825;       5.5851826
"65andup";"aian";4;3;48;8;40;    3334.8837209;       4.8861922;       5.1281423
"65andup";"aian";5;4;48;10;38;    2765.7846178;       4.8603788;       5.1829789
"65andup";"aian";6;5;48;12;36;    2646.8533295;       4.9777260;       5.3809761
"65andup";"aian";7;6;48;14;34;    2122.4937092;       4.9182462;       5.4021464
"65andup";"aian";8;7;48;16;32;    2116.3206747;       5.0766337;       5.6411838
"65andup";"aian";9;8;48;18;30;    2040.8487157;       5.2016204;       5.8468206
"65andup";"aian";10;9;48;20;28;    1855.8930655;       5.2679207;       5.9937709
"65andup";"asian";1;0;48;2;46;  138537.8043416;       8.1289976;       8.1289976
"65andup";"asian";2;1;48;4;44;  101919.7488116;       7.9833401;       8.0639901
"65andup";"asian";3;2;48;6;42;   89109.4396715;       8.0103197;       8.1716197
"65andup";"asian";4;3;48;8;40;   73474.6713109;       7.9786952;       8.2206452
"65andup";"asian";5;4;48;10;38;   37128.6648359;       7.4574438;       7.7800439
"65andup";"asian";6;5;48;12;36;   18795.5091389;       6.9379725;       7.3412226
"65andup";"asian";7;6;48;14;34;   17770.4815796;       7.0431933;       7.5270934
"65andup";"asian";8;7;48;16;32;   16780.9967604;       7.1472017;       7.7117519
"65andup";"asian";9;8;48;18;30;   16610.9958153;       7.2983195;       7.9435197
"65andup";"asian";10;9;48;20;28;   16015.2061229;       7.4230933;       8.1489435
"65andup";"black";1;0;48;2;46;  463845.6202141;       9.3374061;       9.3374061
"65andup";"black";2;1;48;4;44;  323095.3132186;       9.1371017;       9.2177517
"65andup";"black";3;2;48;6;42;  171758.1525470;       8.6665418;       8.8278418
"65andup";"black";4;3;48;8;40;  108981.1099381;       8.3729290;       8.6148791
"65andup";"black";5;4;48;10;38;   75548.9524920;       8.1678353;       8.4904354
"65andup";"black";6;5;48;12;36;   71480.5091701;       8.2737793;       8.6770294
"65andup";"black";7;6;48;14;34;   67233.3448650;       8.3738239;       8.8577240
"65andup";"black";8;7;48;16;32;   64706.7534462;       8.4968202;       9.0613703
"65andup";"black";9;8;48;18;30;   60788.7581871;       8.5956595;       9.2408597
"65andup";"black";10;9;48;20;28;   60144.2029853;       8.7462998;       9.4721499
"65andup";"hisp";1;0;48;2;46;  503814.5578809;       9.4200626;       9.4200626
"65andup";"hisp";2;1;48;4;44;  324777.9907817;       9.1422962;       9.2229462
"65andup";"hisp";3;2;48;6;42;  222204.0301999;       8.9240504;       9.0853505
"65andup";"hisp";4;3;48;8;40;  199448.1301298;       8.9773086;       9.2192587
"65andup";"hisp";5;4;48;10;38;  138040.6315625;       8.7706026;       9.0932026
"65andup";"hisp";6;5;48;12;36;   69631.3317788;       8.2475692;       8.6508193
"65andup";"hisp";7;6;48;14;34;   64386.4045998;       8.3305571;       8.8144572
"65andup";"hisp";8;7;48;16;32;   62903.5869925;       8.4685578;       9.0331079
"65andup";"hisp";9;8;48;18;30;   62082.9611049;       8.6167262;       9.2619264
"65andup";"hisp";10;9;48;20;28;   61911.5146672;       8.7752609;       9.5011111
"65andup";"multirace";1;0;48;2;46;    4363.7172606;       4.6711786;       4.6711786
"65andup";"multirace";2;1;48;4;44;    3910.2353574;       4.7227519;       4.8034019
"65andup";"multirace";3;2;48;6;42;    3589.7668451;       4.7985416;       4.9598417
"65andup";"multirace";4;3;48;8;40;    3493.8221372;       4.9327507;       5.1747008
"65andup";"multirace";5;4;48;10;38;    3190.1183525;       5.0031125;       5.3257126
"65andup";"multirace";6;5;48;12;36;    3093.8111731;       5.1337582;       5.5370083
"65andup";"multirace";7;6;48;14;34;    2957.2381573;       5.2499103;       5.7338105
"65andup";"multirace";8;7;48;16;32;    2858.8474614;       5.3773732;       5.9419233
"65andup";"multirace";9;8;48;18;30;    2764.8287684;       5.5052334;       6.1504335
"65andup";"multirace";10;9;48;20;28;    2687.4328607;       5.6381411;       6.3639913
"65andup";"nhopi";1;0;48;2;46;    3060.5773747;       4.3164579;       4.3164579
"65andup";"nhopi";2;1;48;4;44;    2920.9135687;       4.4310508;       4.5117008
"65andup";"nhopi";3;2;48;6;42;    2654.6800615;       4.4967785;       4.6580786
"65andup";"nhopi";4;3;48;8;40;    2570.2345972;       4.6257516;       4.8677017
"65andup";"nhopi";5;4;48;10;38;    2390.8121662;       4.7146876;       5.0372877
"65andup";"nhopi";6;5;48;12;36;    2269.6435146;       4.8239773;       5.2272274
"65andup";"nhopi";7;6;48;14;34;    2149.8687743;       4.9310614;       5.4149615
"65andup";"nhopi";8;7;48;16;32;    2076.9976288;       5.0578780;       5.6224282
"65andup";"nhopi";9;8;48;18;30;    1998.3988251;       5.1806009;       5.8258011
"65andup";"nhopi";10;9;48;20;28;    1878.4251658;       5.2799884;       6.0058386
"all_ages";"aian";1;0;48;2;46;     372.0534446;       2.2091365;       2.2091365
"all_ages";"aian";2;1;48;4;44;     342.8870375;       2.2888001;       2.3694502
"all_ages";"aian";3;2;48;6;42;     116.3904301;       1.3696494;       1.5309495
