"age_grp";"race";"Model";"Segment";"Segment Start";"Segment End";"MPC";"MPC 95% LCL";"MPC 95% UCL";"MPC Significant";"Test Statistic";"P-Value"
"65andup";"aian";3;0;1;26;-0.2;-0.4;0.1;0;-1.5;0.139
"65andup";"aian";3;1;26;36;2.7;1.7;3.7;1;5.6;0.000
"65andup";"aian";3;2;36;39;-7.3;-16.0;2.2;0;-1.6;0.125
"65andup";"aian";3;3;39;48;0.9;-0.1;2.0;0;1.8;0.072
"65andup";"asian";5;0;1;25;-0.1;-0.3;0.0;0;-2.0;0.055
"65andup";"asian";5;1;25;28;9.3;2.7;16.3;1;2.9;0.006
"65andup";"asian";5;2;28;34;-5.6;-6.9;-4.3;1;-8.5;0.000
"65andup";"asian";5;3;34;37;13.0;7.0;19.4;1;4.6;0.000
"65andup";"asian";5;4;37;42;-6.4;-8.2;-4.6;1;-7.2;0.000
"65andup";"asian";5;5;42;48;0.8;-0.3;1.8;0;1.5;0.148
"65andup";"black";4;0;1;25;-0.1;-0.2;0.0;0;-1.4;0.172
"65andup";"black";4;1;25;28;11.7;4.7;19.2;1;3.5;0.001
"65andup";"black";4;2;28;35;-4.8;-5.8;-3.8;1;-9.6;0.000
"65andup";"black";4;3;35;38;5.4;-0.1;11.2;0;2.0;0.056
"65andup";"black";4;4;38;48;-2.0;-2.5;-1.5;1;-8.3;0.000
"65andup";"hisp";5;0;1;25;0.0;-0.3;0.4;0;0.1;0.959
"65andup";"hisp";5;1;25;31;6.7;3.1;10.4;1;3.9;0.001
"65andup";"hisp";5;2;31;34;-11.4;-23.2;2.3;0;-1.7;0.095
"65andup";"hisp";5;3;34;37;13.6;0.3;28.7;1;2.1;0.045
"65andup";"hisp";5;4;37;40;-10.8;-22.3;2.4;0;-1.7;0.101
"65andup";"hisp";5;5;40;48;-0.0;-1.7;1.6;0;-0.0;0.962
"65andup";"multirace";0;0;1;48;0.0;-0.1;0.1;0;0.4;0.673
"65andup";"nhopi";0;0;1;48;0.2;0.0;0.4;1;2.6;0.013
"all_ages";"aian";5;0;1;27;-0.0;-0.2;0.1;0;-0.5;0.598
"all_ages";"aian";5;1;27;30;7.9;0.1;16.2;1;2.1;0.046
"all_ages";"aian";5;2;30;37;0.3;-0.8;1.4;0;0.5;0.588
"all_ages";"aian";5;3;37;40;-5.0;-11.7;2.3;0;-1.4;0.168
"all_ages";"aian";5;4;40;46;2.6;1.0;4.2;1;3.3;0.002
"all_ages";"aian";5;5;46;48;-5.3;-11.7;1.6;0;-1.6;0.123
"all_ages";"asian";5;0;1;25;-0.1;-0.3;0.0;0;-1.6;0.126
"all_ages";"asian";5;1;25;28;8.8;1.6;16.5;1;2.5;0.017
"all_ages";"asian";5;2;28;34;-5.4;-6.8;-4.0;1;-7.5;0.000
"all_ages";"asian";5;3;34;37;13.1;6.5;20.1;1;4.2;0.000
"all_ages";"asian";5;4;37;42;-7.0;-8.9;-5.1;1;-7.2;0.000
"all_ages";"asian";5;5;42;48;1.0;-0.2;2.1;0;1.7;0.092
"all_ages";"black";4;0;1;25;-0.0;-0.2;0.1;0;-0.4;0.682
"all_ages";"black";4;1;25;28;10.1;2.9;17.8;1;2.9;0.007
"all_ages";"black";4;2;28;34;-3.8;-5.2;-2.4;1;-5.5;0.000
"all_ages";"black";4;3;34;44;0.5;-0.1;1.1;0;1.8;0.080
"all_ages";"black";4;4;44;48;-4.7;-6.6;-2.7;1;-4.8;0.000
"all_ages";"hisp";5;0;1;25;0.1;-0.3;0.4;0;0.4;0.711
"all_ages";"hisp";5;1;25;31;6.6;3.0;10.2;1;3.8;0.001
"all_ages";"hisp";5;2;31;34;-10.4;-22.2;3.1;0;-1.6;0.121
"all_ages";"hisp";5;3;34;37;13.6;0.2;28.8;1;2.1;0.047
"all_ages";"hisp";5;4;37;40;-11.3;-22.6;1.6;0;-1.8;0.082
"all_ages";"hisp";5;5;40;48;0.5;-1.1;2.1;0;0.7;0.519
"all_ages";"multirace";0;0;1;48;0.1;0.0;0.2;1;3.1;0.003
"all_ages";"nhopi";0;0;1;48;0.5;0.4;0.7;1;6.7;0.000
"under65";"aian";4;0;1;27;0.2;-0.0;0.3;0;1.7;0.104
"under65";"aian";4;1;27;30;9.0;-0.5;19.5;0;1.9;0.063
"under65";"aian";4;2;30;37;0.6;-0.7;2.0;0;0.9;0.352
"under65";"aian";4;3;37;40;-5.5;-13.5;3.3;0;-1.3;0.205
"under65";"aian";4;4;40;48;1.5;0.6;2.5;1;3.3;0.002
"under65";"asian";5;0;1;25;-0.0;-0.3;0.2;0;-0.3;0.776
"under65";"asian";5;1;25;28;9.4;-2.0;22.1;0;1.7;0.106
"under65";"asian";5;2;28;31;-11.2;-20.2;-1.3;1;-2.3;0.029
"under65";"asian";5;3;31;37;5.3;2.9;7.7;1;4.6;0.000
"under65";"asian";5;4;37;42;-5.8;-8.8;-2.7;1;-3.8;0.001
"under65";"asian";5;5;42;48;0.4;-1.4;2.2;0;0.4;0.658
"under65";"black";4;0;1;25;0.1;-0.0;0.2;0;1.3;0.203
"under65";"black";4;1;25;28;7.2;1.8;12.9;1;2.7;0.010
"under65";"black";4;2;28;33;-2.4;-3.9;-0.9;1;-3.3;0.002
"under65";"black";4;3;33;44;0.1;-0.3;0.5;0;0.5;0.634
"under65";"black";4;4;44;48;-4.3;-5.7;-2.9;1;-6.1;0.000
"under65";"hisp";5;0;1;25;0.2;-0.1;0.6;0;1.2;0.226
"under65";"hisp";5;1;25;31;6.2;2.6;9.9;1;3.5;0.001
"under65";"hisp";5;2;31;34;-8.1;-20.3;6.1;0;-1.2;0.240
"under65";"hisp";5;3;34;37;14.0;-0.2;30.3;0;2.0;0.054
"under65";"hisp";5;4;37;40;-13.2;-24.6;-0.1;1;-2.1;0.049
"under65";"hisp";5;5;40;48;1.8;0.2;3.4;1;2.3;0.027
"under65";"multirace";0;0;1;48;0.2;0.1;0.3;1;4.8;0.000
"under65";"nhopi";4;0;1;26;0.0;-0.4;0.5;0;0.2;0.851
"under65";"nhopi";4;1;26;31;4.7;-2.1;11.9;0;1.4;0.170
"under65";"nhopi";4;2;31;41;-1.3;-3.1;0.5;0;-1.4;0.159
"under65";"nhopi";4;3;41;44;11.6;-7.7;35.0;0;1.2;0.248
"under65";"nhopi";4;4;44;48;-5.2;-10.2;-0.0;1;-2.0;0.050
