"age_grp";"race";"Model";"#Obs";"#Param";"DF";"SSE";"MSE";"Auto Corr";"Segment";"Joinpoint";"Joinpoint 95% LCL";"Joinpoint 95% UCL";"Intercept Estimate";"Intercept Std Error";"Intercept Test Statistic";"Intercept P-Value";"Slope Estimate";"Slope Std Error";"Slope Test Statistic";"Slope P-Value";"SlopeChg Estimate";"SlopeChg Std Error";"SlopeChg Test Statistic";"SlopeChg P-Value";"Covar-Int vs Int";"Covar-Int vs Slope";"Covar-Slope vs Slope";"Corr-Int vs Int";"Corr-Int vs Slope";"Corr-Slope vs Slope"
65andup;aian;3;50;8;42;3421.622387;81.467200;Uncorrelated;0;NA;NA;NA;-0.171833;0.017691;-9.713091;0.000000;-0.001792;0.001182;-1.515619;0.137680;NA;NA;NA;NA;0.000313;0.000000;3.229234;1.000000;0.000000;1.000000
65andup;aian;3;50;8;42;3421.622387;81.467200;Uncorrelated;1;26;21;29;-0.913797;0.149000;-6.132874;0.000000;0.026745;0.004754;5.625900;0.000002;0.028537;0.004899;5.825385;0.000001;0.000001;0.000000;0.002307;1.000000;0.000000;1.000000
65andup;aian;3;50;8;42;3421.622387;81.467200;Uncorrelated;2;36;34;38;2.691899;1.797007;1.497991;0.142187;-0.073413;0.048034;-1.528366;0.134493;-0.100158;0.048268;-2.075023;0.044628;0.022201;0.000000;0.027320;1.000000;0.000000;1.000000
65andup;aian;3;50;8;42;3421.622387;81.467200;Uncorrelated;3;39;38;42;-0.443411;0.165286;-2.682685;0.010657;0.006979;0.003638;1.918322;0.062412;0.080393;0.048171;1.668886;0.103150;0.000023;0.000000;0.000013;1.000000;0.000000;1.000000
65andup;asian;5;50;12;38;22045.309200;580.139716;Uncorrelated;0;NA;NA;NA;-0.582074;0.011682;-49.825204;0.000000;-0.001367;0.000814;-1.679626;0.102475;NA;NA;NA;NA;0.000136;0.000000;1.271201;1.000000;0.000000;1.000000
65andup;asian;5;50;12;38;22045.309200;580.139716;Uncorrelated;1;25;21;26;-2.836983;0.958829;-2.958800;0.005676;0.088829;0.036126;2.458838;0.019353;0.090196;0.036136;2.496055;0.017731;0.000001;0.000000;0.001003;1.000000;0.000000;1.000000
65andup;asian;5;50;12;38;22045.309200;580.139716;Uncorrelated;2;28;27;29;1.240656;0.247434;5.014093;0.000018;-0.056801;0.007986;-7.112146;0.000000;-0.145630;0.036999;-3.936088;0.000403;0.919353;0.000000;0.057797;1.000000;0.000000;1.000000
65andup;asian;5;50;12;38;22045.309200;580.139716;Uncorrelated;3;34;32;35;-4.614381;1.127475;-4.092666;0.000258;0.115406;0.031676;3.643360;0.000914;0.172207;0.032667;5.271587;0.000008;0.001305;0.000000;0.000036;1.000000;0.000000;1.000000
65andup;asian;5;50;12;38;22045.309200;580.139716;Uncorrelated;4;37;36;38;1.582386;0.240410;6.582037;0.000000;-0.052074;0.005960;-8.737337;0.000000;-0.167480;0.032232;-5.196162;0.000010;0.061223;0.000000;0.076041;1.000000;0.000000;1.000000
65andup;asian;5;50;12;38;22045.309200;580.139716;Uncorrelated;5;44;40;47;-2.310329;0.275755;-8.378197;0.000000;0.036397;0.005784;6.292968;0.000000;0.088471;0.008305;10.652775;0.000000;0.000064;0.000000;0.000033;1.000000;0.000000;1.000000
