"age_grp";"race";"Model";"# Joinpoints";"# Observations";"# Parameters";"D.F.";"SSE";"BIC";"BIC3"
65andup;aian;1;0;50;2;48;   13429.0726976;       5.7496352;       5.7496352
65andup;aian;2;1;50;4;46;   11704.8145288;       5.7686944;       5.8469348
65andup;aian;3;2;50;6;44;    7048.7942949;       5.4180316;       5.5745125
65andup;aian;4;3;50;8;42;    3421.6223868;       4.8517708;       5.0864922
65andup;aian;5;4;50;10;40;    2995.0195240;       4.8750876;       5.1880495
65andup;aian;6;5;50;12;38;    2742.5642166;       4.9435111;       5.3347134
65andup;aian;7;6;50;14;36;    2357.2422637;       4.9485911;       5.4180339
65andup;aian;8;7;50;16;34;    2273.1908393;       5.0687641;       5.6164474
65andup;aian;9;8;50;18;32;    2267.4708665;       5.2227256;       5.8486493
65andup;aian;10;9;50;20;30;    2090.6411062;       5.2980122;       6.0021764
65andup;asian;1;0;50;2;48;  139656.1854862;       8.0913968;       8.0913968
65andup;asian;2;1;50;4;46;  120755.3951476;       8.1024611;       8.1807015
65andup;asian;3;2;50;6;44;   95805.4325183;       8.0274944;       8.1839753
65andup;asian;4;3;50;8;42;   76785.5070295;       7.9626719;       8.1973932
65andup;asian;5;4;50;10;40;   60411.6222860;       7.8793184;       8.1922802
65andup;asian;6;5;50;12;38;   22045.3091996;       7.0277176;       7.4189199
65andup;asian;7;6;50;14;36;   19333.6559533;       7.0529461;       7.5223889
65andup;asian;8;7;50;16;34;   18335.8632739;       7.1564385;       7.7041217
65andup;asian;9;8;50;18;32;   18165.8771579;       7.3036055;       7.9295292
65andup;asian;10;9;50;20;30;   17570.0868405;       7.4267393;       8.1309035
65andup;black;1;0;50;2;48;  473945.9692730;       9.3133065;       9.3133065
65andup;black;2;1;50;4;46;  357995.0766270;       9.1892133;       9.2674538
65andup;black;3;2;50;6;44;  229678.3529054;       8.9018549;       9.0583358
65andup;black;4;3;50;8;42;  139360.1407716;       8.5587175;       8.7934389
65andup;black;5;4;50;10;40;  123778.9966584;       8.5966346;       8.9095964
65andup;black;6;5;50;12;38;  102323.9811640;       8.5627619;       8.9539642
65andup;black;7;6;50;14;36;   98259.5134925;       8.6787108;       9.1481536
65andup;black;8;7;50;16;34;   93953.4209696;       8.7903788;       9.3380620
65andup;black;9;8;50;18;32;   91829.1932735;       8.9239908;       9.5499145
65andup;black;10;9;50;20;30;   87913.3506679;       9.0368932;       9.7410573
65andup;hisp;1;0;50;2;48;  506130.5956998;       9.3790079;       9.3790079
65andup;hisp;2;1;50;4;46;  378168.2278917;       9.2440333;       9.3222737
65andup;hisp;3;2;50;6;44;  255665.6937798;       9.0090457;       9.1655267
65andup;hisp;4;3;50;8;42;  230659.5847579;       9.0625989;       9.2973203
65andup;hisp;5;4;50;10;40;  181033.2684088;       8.9768177;       9.2897795
65andup;hisp;6;5;50;12;38;   85030.3497854;       8.3776260;       8.7688283
65andup;hisp;7;6;50;14;36;   77975.6123144;       8.4474948;       8.9169376
