"age_grp";"race";"Model";"Segment";"Segment Start";"Segment End";"MPC";"MPC 95% LCL";"MPC 95% UCL";"MPC Significant";"Test Statistic";"P-Value"
65andup;aian;3;0;1;26;-0.2;-0.4;0.1;0;-1.5;0.138
65andup;aian;3;1;26;36;2.7;1.7;3.7;1;5.6;0.000
65andup;aian;3;2;36;39;-7.1;-15.7;2.4;0;-1.5;0.134
65andup;aian;3;3;39;50;0.7;-0.0;1.4;0;1.9;0.062
65andup;asian;5;0;1;25;-0.1;-0.3;0.0;0;-1.7;0.102
65andup;asian;5;1;25;28;9.3;1.5;17.6;1;2.5;0.019
65andup;asian;5;2;28;34;-5.5;-7.0;-4.0;1;-7.1;0.000
65andup;asian;5;3;34;37;12.2;5.2;19.7;1;3.6;0.001
65andup;asian;5;4;37;44;-5.1;-6.2;-3.9;1;-8.7;0.000
65andup;asian;5;5;44;50;3.7;2.5;4.9;1;6.3;0.000
65andup;black;3;0;1;25;-0.1;-0.4;0.2;0;-0.7;0.478
65andup;black;3;1;25;28;11.9;-1.6;27.3;0;1.8;0.085
65andup;black;3;2;28;33;-5.1;-8.6;-1.5;1;-2.8;0.008
65andup;black;3;3;33;50;-0.3;-0.7;0.1;0;-1.5;0.151
65andup;hisp;5;0;1;25;0.0;-0.4;0.4;0;0.1;0.959
65andup;hisp;5;1;25;31;6.7;2.9;10.7;1;3.6;0.001
65andup;hisp;5;2;31;34;-11.3;-23.8;3.4;0;-1.6;0.121
65andup;hisp;5;3;34;37;13.0;-1.0;29.1;0;1.9;0.069
65andup;hisp;5;4;37;41;-9.1;-15.8;-2.0;1;-2.6;0.015
65andup;hisp;5;5;41;50;1.6;0.2;3.0;1;2.3;0.027
65andup;multirace;0;0;1;50;0.0;-0.1;0.1;0;0.4;0.684
65andup;nhopi;0;0;1;50;0.3;0.1;0.5;1;3.6;0.001
all_ages;aian;5;0;1;27;-0.0;-0.2;0.1;0;-0.5;0.611
all_ages;aian;5;1;27;30;7.9;-0.1;16.4;0;2.0;0.053
all_ages;aian;5;2;30;37;0.3;-0.8;1.5;0;0.6;0.585
all_ages;aian;5;3;37;40;-5.1;-12.1;2.3;0;-1.4;0.165
all_ages;aian;5;4;40;45;3.0;0.6;5.4;1;2.6;0.015
all_ages;aian;5;5;45;50;-2.4;-3.9;-0.8;1;-3.1;0.004
all_ages;asian;5;0;1;25;-0.1;-0.3;0.1;0;-1.4;0.163
all_ages;asian;5;1;25;28;8.8;0.9;17.2;1;2.3;0.029
all_ages;asian;5;2;28;34;-5.3;-6.9;-3.7;1;-6.7;0.000
all_ages;asian;5;3;34;37;12.1;5.0;19.8;1;3.5;0.001
all_ages;asian;5;4;37;44;-5.4;-6.6;-4.3;1;-9.3;0.000
all_ages;asian;5;5;44;50;4.1;2.8;5.3;1;6.8;0.000
all_ages;black;3;0;1;25;-0.0;-0.3;0.2;0;-0.3;0.803
all_ages;black;3;1;25;28;10.2;-1.7;23.6;0;1.7;0.095
all_ages;black;3;2;28;33;-4.0;-7.1;-0.7;1;-2.4;0.019
all_ages;black;3;3;33;50;-0.3;-0.7;0.0;0;-1.8;0.074
all_ages;hisp;5;0;1;25;0.1;-0.3;0.4;0;0.4;0.716
all_ages;hisp;5;1;25;31;6.6;2.9;10.3;1;3.7;0.001
all_ages;hisp;5;2;31;34;-10.5;-22.4;3.3;0;-1.6;0.126
all_ages;hisp;5;3;34;37;13.7;0.1;29.2;1;2.1;0.048
all_ages;hisp;5;4;37;40;-11.9;-23.3;1.2;0;-1.9;0.073
all_ages;hisp;5;5;40;50;1.1;-0.0;2.2;0;2.0;0.054
all_ages;multirace;0;0;1;50;0.1;0.0;0.2;1;3.2;0.003
all_ages;nhopi;0;0;1;50;0.5;0.4;0.7;1;7.3;0.000
under65;aian;6;0;1;27;0.1;-0.0;0.3;0;1.8;0.086
under65;aian;6;1;27;30;10.5;2.2;19.4;1;2.6;0.014
under65;aian;6;2;30;33;-2.3;-9.1;4.9;0;-0.7;0.508
under65;aian;6;3;33;37;2.8;-0.7;6.5;0;1.6;0.118
under65;aian;6;4;37;40;-7.6;-14.4;-0.4;1;-2.1;0.041
under65;aian;6;5;40;44;3.6;-0.2;7.6;0;1.9;0.061
under65;aian;6;6;44;50;-0.8;-2.0;0.4;0;-1.3;0.192
under65;asian;5;0;1;25;-0.0;-0.3;0.2;0;-0.3;0.780
under65;asian;5;1;25;28;9.4;-2.1;22.1;0;1.6;0.109
under65;asian;5;2;28;31;-11.1;-20.1;-1.1;1;-2.2;0.032
under65;asian;5;3;31;37;4.9;2.5;7.3;1;4.3;0.000
under65;asian;5;4;37;44;-4.6;-6.3;-2.9;1;-5.4;0.000
under65;asian;5;5;44;50;2.8;1.0;4.6;1;3.2;0.003
under65;black;5;0;1;25;0.1;-0.1;0.2;0;0.9;0.387
under65;black;5;1;25;28;7.2;-0.7;15.7;0;1.9;0.072
under65;black;5;2;28;33;-2.4;-4.6;-0.2;1;-2.3;0.031
under65;black;5;3;33;44;0.1;-0.4;0.7;0;0.4;0.671
under65;black;5;4;44;47;-4.8;-10.9;1.7;0;-1.5;0.141
under65;black;5;5;47;50;3.8;-0.0;7.8;0;2.0;0.050
under65;hisp;5;0;1;25;0.2;-0.1;0.6;0;1.3;0.216
under65;hisp;5;1;25;31;6.2;2.6;9.8;1;3.6;0.001
under65;hisp;5;2;31;34;-8.0;-20.0;5.7;0;-1.2;0.231
under65;hisp;5;3;34;37;13.9;-0.0;29.9;0;2.0;0.050
under65;hisp;5;4;37;40;-12.8;-24.0;-0.0;1;-2.0;0.050
under65;hisp;5;5;40;50;1.5;0.3;2.6;1;2.7;0.012
under65;multirace;0;0;1;50;0.2;0.2;0.3;1;5.2;0.000
under65;nhopi;4;0;1;26;0.0;-0.4;0.5;0;0.2;0.846
under65;nhopi;4;1;26;31;4.7;-1.9;11.7;0;1.4;0.159
under65;nhopi;4;2;31;41;-1.3;-3.0;0.5;0;-1.5;0.150
under65;nhopi;4;3;41;44;11.4;-7.4;34.0;0;1.2;0.242
under65;nhopi;4;4;44;50;-4.9;-7.7;-2.0;1;-3.4;0.001
