"age_grp";"race_eth";"Model";"#Obs";"#Param";"DF";"SSE";"MSE";"Auto Corr";"Segment";"Joinpoint";"Joinpoint 95% LCL";"Joinpoint 95% UCL";"Intercept Estimate";"Intercept Std Error";"Intercept Test Statistic";"Intercept P-Value";"Slope Estimate";"Slope Std Error";"Slope Test Statistic";"Slope P-Value";"SlopeChg Estimate";"SlopeChg Std Error";"SlopeChg Test Statistic";"SlopeChg P-Value";"Covar-Int vs Int";"Covar-Int vs Slope";"Covar-Slope vs Slope";"Corr-Int vs Int";"Corr-Int vs Slope";"Corr-Slope vs Slope"
65andup;American Indian or Alaska Native;4;50;10;40;7227.255337;180.681383;Uncorrelated;0;NA;NA;NA;5.751295;0.042048;136.780903;0.000000;-0.006501;0.003620;-1.795997;0.080892;NA;NA;NA;NA;0.001768;0.000000;0.011556;1.000000;0.000000;1.000000
65andup;American Indian or Alaska Native;4;50;10;40;7227.255337;180.681383;Uncorrelated;1;20;3;28;5.244442;0.178984;29.301173;0.000000;0.018842;0.006663;2.827807;0.007609;0.025343;0.007583;3.342152;0.001948;0.000013;0.000000;4.097990;1.000000;0.000000;1.000000
65andup;American Indian or Alaska Native;4;50;10;40;7227.255337;180.681383;Uncorrelated;2;33;30;35;1.044543;3.710149;0.281537;0.779911;0.146111;0.107500;1.359172;0.182546;0.127270;0.107707;1.181633;0.245099;0.032035;0.000000;0.002837;1.000000;0.000000;1.000000
65andup;American Indian or Alaska Native;4;50;10;40;7227.255337;180.681383;Uncorrelated;3;36;35;38;12.387331;2.024349;6.119167;0.000000;-0.168966;0.053268;-3.172022;0.003091;-0.315077;0.119974;-2.626214;0.012600;0.000044;0.000000;0.139872;1.000000;0.000000;1.000000
65andup;American Indian or Alaska Native;4;50;10;40;7227.255337;180.681383;Uncorrelated;4;40;38;42;4.008884;0.373995;10.719082;0.000000;0.040495;0.008220;4.926556;0.000019;0.209461;0.053898;3.886247;0.000420;13.765208;0.000000;0.000068;1.000000;0.000000;1.000000
65andup;Asian;5;50;12;38;794055.586338;20896.199640;Uncorrelated;0;NA;NA;NA;5.347301;0.039853;134.175931;0.000000;-0.006729;0.003096;-2.173530;0.037018;NA;NA;NA;NA;0.001588;0.000000;14.629982;1.000000;0.000000;1.000000
65andup;Asian;5;50;12;38;794055.586338;20896.199640;Uncorrelated;1;22;15;26;3.813388;0.635882;5.997001;0.000001;0.062995;0.025374;2.482617;0.018302;0.069723;0.025562;2.727568;0.010142;0.000010;0.000000;0.011604;1.000000;0.000000;1.000000
65andup;Asian;5;50;12;38;794055.586338;20896.199640;Uncorrelated;2;28;23;31;7.051040;0.763875;9.230615;0.000000;-0.052636;0.024600;-2.139644;0.039871;-0.115630;0.035342;-3.271796;0.002507;0.404347;0.000000;16.716713;1.000000;0.000000;1.000000
65andup;Asian;5;50;12;38;794055.586338;20896.199640;Uncorrelated;3;34;30;35;-2.397309;3.824916;-0.626761;0.535128;0.225257;0.107724;2.091056;0.044302;0.277893;0.110497;2.514929;0.016957;0.000644;0.000000;0.011275;1.000000;0.000000;1.000000
65andup;Asian;5;50;12;38;794055.586338;20896.199640;Uncorrelated;4;37;35;38;15.263667;4.088608;3.733219;0.000713;-0.252067;0.106185;-2.373852;0.023578;-0.477324;0.151260;-3.155646;0.003409;0.583506;0.000000;0.142428;1.000000;0.000000;1.000000
