"age_grp";"race_eth";"Model";"# Joinpoints";"# Observations";"# Parameters";"D.F.";"SSE";"BIC";"BIC3"
65andup;American Indian or Alaska Native;1;0;50;2;48;   30504.9465418;       6.5701020;       6.5701020
65andup;American Indian or Alaska Native;2;1;50;4;46;   27674.3971096;       6.6292018;       6.7074423
65andup;American Indian or Alaska Native;3;2;50;6;44;   22508.4172232;       6.5790644;       6.7355453
65andup;American Indian or Alaska Native;4;3;50;8;42;   10177.7645242;       5.9418613;       6.1765827
65andup;American Indian or Alaska Native;5;4;50;10;40;    7227.2553370;       5.7559962;       6.0689581
65andup;American Indian or Alaska Native;6;5;50;12;38;    6378.3161946;       5.7875219;       6.1787242
65andup;American Indian or Alaska Native;7;6;50;14;36;    5236.9054634;       5.7468295;       6.2162722
65andup;American Indian or Alaska Native;8;7;50;16;34;    4603.0025536;       5.7742885;       6.3219717
65andup;American Indian or Alaska Native;9;8;50;18;32;    4038.7179021;       5.7999878;       6.4259115
65andup;American Indian or Alaska Native;10;9;50;20;30;    3682.4396372;       5.8641170;       6.5682811
65andup;Asian;1;0;50;2;48; 2936182.2676497;      11.1370787;      11.1370787
65andup;Asian;2;1;50;4;46; 2766902.1361003;      11.2341777;      11.3124182
65andup;Asian;3;2;50;6;44; 2166998.6840038;      11.1462734;      11.3027543
65andup;Asian;4;3;50;8;42; 1372672.8228154;      10.8461710;      11.0808924
65andup;Asian;5;4;50;10;40; 1178042.5368376;      10.8497463;      11.1627082
65andup;Asian;6;5;50;12;38;  794055.5863380;      10.6117713;      11.0029736
65andup;Asian;7;6;50;14;36;  726701.6964669;      10.6796148;      11.1490575
65andup;Asian;8;7;50;16;34;  606186.7708135;      10.6547678;      11.2024510
65andup;Asian;9;8;50;18;32;  555286.3573823;      10.7235445;      11.3494682
65andup;Asian;10;9;50;20;30;  511496.3597493;      10.7978819;      11.5020461
65andup;Black or African American;1;0;50;2;48; 7989247.9471760;      12.1380651;      12.1380651
65andup;Black or African American;2;1;50;4;46; 7470378.8948002;      12.2273951;      12.3056356
65andup;Black or African American;3;2;50;6;44; 5656940.0599155;      12.1058134;      12.2622944
65andup;Black or African American;4;3;50;8;42; 4891799.8527889;      12.1169715;      12.3516929
65andup;Black or African American;5;4;50;10;40; 4437320.2451801;      12.1759428;      12.4889046
65andup;Black or African American;6;5;50;12;38; 2952314.7952557;      11.9249626;      12.3161649
65andup;Black or African American;7;6;50;14;36; 2643285.5487938;      11.9708767;      12.4403194
65andup;Black or African American;8;7;50;16;34; 2543919.4034824;      12.0890409;      12.6367241
65andup;Black or African American;9;8;50;18;32; 2413471.7940197;      12.1928821;      12.8188058
65andup;Black or African American;10;9;50;20;30; 2319269.1797142;      12.3095489;      13.0137130
65andup;hispanic;1;0;50;2;48;11689964.8998013;      12.5186992;      12.5186992
65andup;hispanic;2;1;50;4;46;10830858.6907768;      12.5988487;      12.6770892
65andup;hispanic;3;2;50;6;44; 8227283.3702850;      12.4803862;      12.6368671
65andup;hispanic;4;3;50;8;42; 4910305.3882275;      12.1207474;      12.3554688
65andup;hispanic;5;4;50;10;40; 4117999.9706421;      12.1012598;      12.4142216
65andup;hispanic;6;5;50;12;38; 3049488.0897484;      11.9573468;      12.3485491
65andup;hispanic;7;6;50;14;36; 2746196.0161457;      12.0090707;      12.4785134
65andup;hispanic;8;7;50;16;34; 2624177.4481144;      12.1201024;      12.6677856
65andup;hispanic;9;8;50;18;32; 2476484.1661739;      12.2186557;      12.8445794
65andup;hispanic;10;9;50;20;30; 2420222.6633472;      12.3521563;      13.0563204
65andup;More than one race;1;0;50;2;48;   34261.6986211;       6.6862413;       6.6862413
65andup;More than one race;2;1;50;4;46;   29458.4657878;       6.6916754;       6.7699159
65andup;More than one race;3;2;50;6;44;   27515.9576655;       6.7799411;       6.9364221
65andup;More than one race;4;3;50;8;42;   18100.0648195;       6.5175715;       6.7522929
65andup;More than one race;5;4;50;10;40;   14625.2883722;       6.4608890;       6.7738508
65andup;More than one race;6;5;50;12;38;   13339.0022165;       6.5253100;       6.9165123
65andup;More than one race;7;6;50;14;36;   12498.9528829;       6.6167436;       7.0861863
65andup;More than one race;8;7;50;16;34;   11600.2404404;       6.6986055;       7.2462887
65andup;More than one race;9;8;50;18;32;   10988.6678448;       6.8009251;       7.4268488
65andup;More than one race;10;9;50;20;30;   10730.4827030;       6.9336300;       7.6377942
65andup;Native Hawaiian or Other Pacific Islander;1;0;50;2;48;    1238.8279277;       3.3663789;       3.3663789
65andup;Native Hawaiian or Other Pacific Islander;2;1;50;4;46;    1110.8153232;       3.4137884;       3.4920288
65andup;Native Hawaiian or Other Pacific Islander;3;2;50;6;44;     997.1639455;       3.4623350;       3.6188159
65andup;Native Hawaiian or Other Pacific Islander;4;3;50;8;42;     631.5469841;       3.1620730;       3.3967944
65andup;Native Hawaiian or Other Pacific Islander;5;4;50;10;40;     551.6337386;       3.1832659;       3.4962277
65andup;Native Hawaiian or Other Pacific Islander;6;5;50;12;38;     531.6681263;       3.3028820;       3.6940843
65andup;Native Hawaiian or Other Pacific Islander;7;6;50;14;36;     475.4669181;       3.3476407;       3.8170835
65andup;Native Hawaiian or Other Pacific Islander;8;7;50;16;34;     444.2724870;       3.4362624;       3.9839457
65andup;Native Hawaiian or Other Pacific Islander;9;8;50;18;32;     430.0792939;       3.5602749;       4.1861986
65andup;Native Hawaiian or Other Pacific Islander;10;9;50;20;30;     398.2960172;       3.6399817;       4.3441458
65andup;White;1;0;50;2;48;335076591.4169922;      15.8743276;      15.8743276
65andup;White;2;1;50;4;46;283561514.5373535;      15.8638785;      15.9421189
65andup;White;3;2;50;6;44;268415216.2371826;      15.9654654;      16.1219463
65andup;White;4;3;50;8;42;159962753.4090576;      15.6043522;      15.8390736
65andup;White;5;4;50;10;40;119276319.9927979;      15.4673350;      15.7802968
65andup;White;6;5;50;12;38;111925457.6184082;      15.5602062;      15.9514085
65andup;White;7;6;50;14;36;97424495.1169434;      15.5779317;      16.0473744
65andup;White;8;7;50;16;34;74995809.3510742;      15.4727672;      16.0204504
65andup;White;9;8;50;18;32;72393067.9248047;      15.5939264;      16.2198501
65andup;White;10;9;50;20;30;67483929.4770508;      15.6801862;      16.3843504
all_ages;American Indian or Alaska Native;1;0;50;2;48;     390.7653610;       2.2125652;       2.2125652
all_ages;American Indian or Alaska Native;2;1;50;4;46;     344.0470501;       2.2417173;       2.3199577
all_ages;American Indian or Alaska Native;3;2;50;6;44;     239.4152677;       2.0356193;       2.1921002
all_ages;American Indian or Alaska Native;4;3;50;8;42;     135.2121948;       1.6207460;       1.8554674
all_ages;American Indian or Alaska Native;5;4;50;10;40;      98.7156591;       1.4626252;       1.7755870
all_ages;American Indian or Alaska Native;6;5;50;12;38;      88.9831504;       1.5153095;       1.9065118
all_ages;American Indian or Alaska Native;7;6;50;14;36;      78.7121926;       1.5491415;       2.0185843
all_ages;American Indian or Alaska Native;8;7;50;16;34;      71.6931884;       1.6122201;       2.1599033
all_ages;American Indian or Alaska Native;9;8;50;18;32;      62.2380993;       1.6272726;       2.2531963
all_ages;American Indian or Alaska Native;10;9;50;20;30;      56.8620470;       1.6934143;       2.3975784
all_ages;Asian;1;0;50;2;48;   40209.6616494;       6.8463205;       6.8463205
all_ages;Asian;2;1;50;4;46;   37980.0818097;       6.9457560;       7.0239964
all_ages;Asian;3;2;50;6;44;   31017.2586767;       6.8997188;       7.0561997
all_ages;Asian;4;3;50;8;42;   19559.4489186;       6.5951144;       6.8298358
all_ages;Asian;5;4;50;10;40;   17035.2042991;       6.6134189;       6.9263808
all_ages;Asian;6;5;50;12;38;   11029.0741850;       6.3351527;       6.7263550
all_ages;Asian;7;6;50;14;36;   10159.2638563;       6.4094847;       6.8789275
all_ages;Asian;8;7;50;16;34;    8785.5929616;       6.4206929;       6.9683761
all_ages;Asian;9;8;50;18;32;    8098.3166898;       6.4957168;       7.1216405
all_ages;Asian;10;9;50;20;30;    7478.0463789;       6.5725131;       7.2766772
all_ages;Black or African American;1;0;50;2;48;  105005.3929226;       7.8062249;       7.8062249
all_ages;Black or African American;2;1;50;4;46;   97595.1089231;       7.8895215;       7.9677620
all_ages;Black or African American;3;2;50;6;44;   67587.2358133;       7.6785942;       7.8350751
all_ages;Black or African American;4;3;50;8;42;   61361.9700148;       7.7384462;       7.9731676
all_ages;Black or African American;5;4;50;10;40;   57525.7198455;       7.8303690;       8.1433309
all_ages;Black or African American;6;5;50;12;38;   44330.6431939;       7.7262940;       8.1174963
all_ages;Black or African American;7;6;50;14;36;   40471.9505495;       7.7917079;       8.2611506
all_ages;Black or African American;8;7;50;16;34;   38941.3568545;       7.9096365;       8.4573197
all_ages;Black or African American;9;8;50;18;32;   37282.2781242;       8.0225787;       8.6485023
all_ages;Black or African American;10;9;50;20;30;   36670.4253151;       8.1625121;       8.8666762
all_ages;hispanic;1;0;50;2;48;  202785.3661813;       8.4643613;       8.4643613
