"age_grp";"race";"month_from_start";"rr";"Model";"Standard Error";"Flag";"APC";"Joinpoints";"Final Selected Model"
65andup;aian;1;0.853857802;0.840611650;0.003594195;NA;-0.179046407;3;3
65andup;aian;2;0.789910998;0.839106565;0.003814781;NA;-0.179046407;3;3
65andup;aian;3;0.877792901;0.837604175;0.003950654;NA;-0.179046407;3;3
65andup;aian;4;0.814535580;0.836104475;0.003918231;NA;-0.179046407;3;3
65andup;aian;5;0.826034082;0.834607460;0.003992145;NA;-0.179046407;3;3
65andup;aian;6;0.854847787;0.833113125;0.004166548;NA;-0.179046407;3;3
65andup;aian;7;0.896014773;0.831621466;0.004223728;NA;-0.179046407;3;3
65andup;aian;8;0.780770729;0.830132478;0.003904520;NA;-0.179046407;3;3
65andup;aian;9;0.848545051;0.828646156;0.004139539;NA;-0.179046407;3;3
65andup;aian;10;0.768128246;0.827162494;0.003749923;NA;-0.179046407;3;3
65andup;aian;11;0.817221364;0.825681490;0.003905416;NA;-0.179046407;3;3
65andup;aian;12;0.822725403;0.824203137;0.003786155;NA;-0.179046407;3;3
65andup;aian;13;0.843648524;0.822727431;0.003743929;NA;-0.179046407;3;3
65andup;aian;14;0.852433091;0.821254367;0.003934555;NA;-0.179046407;3;3
65andup;aian;15;0.793566800;0.819783940;0.003635636;NA;-0.179046407;3;3
65andup;aian;16;0.859372920;0.818316146;0.003923470;NA;-0.179046407;3;3
65andup;aian;17;0.812459677;0.816850981;0.003838175;NA;-0.179046407;3;3
65andup;aian;18;0.796014689;0.815388438;0.003884407;NA;-0.179046407;3;3
65andup;aian;19;0.791236722;0.813928515;0.003871787;NA;-0.179046407;3;3
65andup;aian;20;0.783226993;0.812471205;0.003847778;NA;-0.179046407;3;3
65andup;aian;21;0.822445028;0.811016505;0.003957970;NA;-0.179046407;3;3
65andup;aian;22;0.820748022;0.809564409;0.003790040;NA;-0.179046407;3;3
65andup;aian;23;0.801784343;0.808114913;0.003755063;NA;-0.179046407;3;3
65andup;aian;24;0.776099630;0.806668012;0.003542491;NA;-0.179046407;3;3
65andup;aian;25;0.854529159;0.805223702;0.003673379;NA;-0.179046407;3;3
65andup;aian;26;0.789340474;0.803781978;0.003646514;Joinpoint 1;NA;3;3
65andup;aian;27;0.806183370;0.825569163;0.003535894;NA;2.710583939*;3;3
65andup;aian;28;0.823700523;0.847946908;0.003371842;NA;2.710583939*;3;3
65andup;aian;29;0.917279361;0.870931221;0.003772915;NA;2.710583939*;3;3
65andup;aian;30;0.972865339;0.894538543;0.004106237;NA;2.710583939*;3;3
65andup;aian;31;0.908855149;0.918785761;0.003769647;NA;2.710583939*;3;3
65andup;aian;32;0.914157771;0.943690220;0.003769969;NA;2.710583939*;3;3
65andup;aian;33;0.915055107;0.969269735;0.003848315;NA;2.710583939*;3;3
65andup;aian;34;0.985570328;0.995542605;0.003824888;NA;2.710583939*;3;3
65andup;aian;35;1.028472920;1.022527623;0.003654093;NA;2.710583939*;3;3
65andup;aian;36;1.052088256;1.050244093;0.003372382;Joinpoint 2;NA;3;3
65andup;aian;37;0.996502537;0.975904412;0.003307324;NA;-7.078324101;3;3
65andup;aian;38;0.909779354;0.906826735;0.003636690;NA;-7.078324101;3;3
65andup;aian;39;0.845440921;0.842638599;0.003618021;Joinpoint 3;NA;3;3
65andup;aian;40;0.818464881;0.848540229;0.003628224;NA;0.700374917;3;3
65andup;aian;41;0.820685257;0.854483192;0.003612859;NA;0.700374917;3;3
65andup;aian;42;0.868798658;0.860467778;0.003810167;NA;0.700374917;3;3
65andup;aian;43;0.838059641;0.866494278;0.003640064;NA;0.700374917;3;3
65andup;aian;44;0.901504663;0.872562987;0.003557915;NA;0.700374917;3;3
65andup;aian;45;0.906895083;0.878674199;0.003525175;NA;0.700374917;3;3
65andup;aian;46;0.935759860;0.884828213;0.003583015;NA;0.700374917;3;3
65andup;aian;47;0.914239983;0.891025328;0.003629105;NA;0.700374917;3;3
65andup;aian;48;0.853952053;0.897265845;0.003391249;NA;0.700374917;3;3
65andup;aian;49;0.881526352;0.903550070;0.003191701;NA;0.700374917;3;3
65andup;aian;50;0.904405287;0.909878308;0.003605949;NA;0.700374917;3;3
65andup;asian;1;0.559728783;0.557974614;0.000988459;NA;-0.136647168;5;5
65andup;asian;2;0.549845590;0.557212158;0.001079429;NA;-0.136647168;5;5
65andup;asian;3;0.571390944;0.556450743;0.001080154;NA;-0.136647168;5;5
65andup;asian;4;0.548345302;0.555690369;0.001086428;NA;-0.136647168;5;5
65andup;asian;5;0.558691241;0.554931034;0.001117765;NA;-0.136647168;5;5
65andup;asian;6;0.551667337;0.554172736;0.001134614;NA;-0.136647168;5;5
65andup;asian;7;0.556650258;0.553415475;0.001127344;NA;-0.136647168;5;5
65andup;asian;8;0.539101446;0.552659248;0.001108610;NA;-0.136647168;5;5
65andup;asian;9;0.545545106;0.551904055;0.001124610;NA;-0.136647168;5;5
65andup;asian;10;0.537942980;0.551149894;0.001068340;NA;-0.136647168;5;5
65andup;asian;11;0.559835019;0.550396763;0.001090536;NA;-0.136647168;5;5
65andup;asian;12;0.558067066;0.549644661;0.001049553;NA;-0.136647168;5;5
65andup;asian;13;0.545756033;0.548893588;0.001017335;NA;-0.136647168;5;5
65andup;asian;14;0.571907638;0.548143540;0.001095420;NA;-0.136647168;5;5
65andup;asian;15;0.567666525;0.547394517;0.001041231;NA;-0.136647168;5;5
65andup;asian;16;0.540268538;0.546646518;0.001055914;NA;-0.136647168;5;5
65andup;asian;17;0.533105813;0.545899541;0.001047708;NA;-0.136647168;5;5
65andup;asian;18;0.537840615;0.545153585;0.001079537;NA;-0.136647168;5;5
65andup;asian;19;0.538234933;0.544408648;0.001072070;NA;-0.136647168;5;5
65andup;asian;20;0.525764727;0.543664729;0.001060059;NA;-0.136647168;5;5
65andup;asian;21;0.524628425;0.542921827;0.001067852;NA;-0.136647168;5;5
65andup;asian;22;0.541082404;0.542179939;0.001044133;NA;-0.136647168;5;5
65andup;asian;23;0.553016377;0.541439066;0.001051068;NA;-0.136647168;5;5
65andup;asian;24;0.554602214;0.540699205;0.001013018;NA;-0.136647168;5;5
65andup;asian;25;0.566350508;0.539960354;0.001003727;Joinpoint 1;NA;5;5
65andup;asian;26;0.568905957;0.590119263;0.001048601;NA;9.289368807*;5;5
65andup;asian;27;0.604460707;0.644937618;0.001036049;NA;9.289368807*;5;5
65andup;asian;28;0.777996742;0.704848252;0.001111354;Joinpoint 2;NA;5;5
65andup;asian;29;0.627712336;0.665927974;0.001054460;NA;-5.521795346*;5;5
65andup;asian;30;0.590397010;0.629156794;0.001085779;NA;-5.521795346*;5;5
65andup;asian;31;0.571294966;0.594416044;0.001020146;NA;-5.521795346*;5;5
65andup;asian;32;0.581398004;0.561593606;0.001019602;NA;-5.521795346*;5;5
65andup;asian;33;0.556356584;0.530583556;0.001017589;NA;-5.521795346*;5;5
65andup;asian;34;0.523723517;0.501285818;0.000943887;Joinpoint 3;NA;5;5
65andup;asian;35;0.524248410;0.562607578;0.000889388;NA;12.232893423*;5;5
65andup;asian;36;0.629647527;0.631430764;0.000888726;NA;12.232893423*;5;5
65andup;asian;37;0.741002515;0.708673016;0.000976077;Joinpoint 4;NA;5;5
65andup;asian;38;0.678165055;0.672713797;0.001076912;NA;-5.074162374*;5;5
65andup;asian;39;0.629359469;0.638579206;0.001056090;NA;-5.074162374*;5;5
65andup;asian;40;0.572501299;0.606176660;0.001033841;NA;-5.074162374*;5;5
65andup;asian;41;0.552869379;0.575418272;0.001011502;NA;-5.074162374*;5;5
65andup;asian;42;0.531014257;0.546220615;0.001014797;NA;-5.074162374*;5;5
65andup;asian;43;0.540037076;0.518504494;0.000997581;NA;-5.074162374*;5;5
65andup;asian;44;0.512794111;0.492194734;0.000916915;Joinpoint 5;NA;5;5
65andup;asian;45;0.513111732;0.510438925;0.000907851;NA;3.706701697*;5;5
65andup;asian;46;0.531142067;0.529359373;0.000923862;NA;3.706701697*;5;5
65andup;asian;47;0.534474662;0.548981146;0.000942666;NA;3.706701697*;5;5
65andup;asian;48;0.552831683;0.569330239;0.000926921;NA;3.706701697*;5;5
65andup;asian;49;0.617846922;0.590433613;0.000909280;NA;3.706701697*;5;5
65andup;asian;50;0.600845594;0.612319225;0.000999776;NA;3.706701697*;5;5
65andup;black;1;1.064001281;1.082605867;0.001008518;NA;-0.100360231;3;3
65andup;black;2;1.077108356;1.081519361;0.001121390;NA;-0.100360231;3;3
65andup;black;3;1.066373357;1.080433946;0.001092547;NA;-0.100360231;3;3
65andup;black;4;1.050855165;1.079349620;0.001117459;NA;-0.100360231;3;3
65andup;black;5;1.070053808;1.078266382;0.001148284;NA;-0.100360231;3;3
65andup;black;6;1.085475187;1.077184232;0.001185799;NA;-0.100360231;3;3
65andup;black;7;1.087547581;1.076103167;0.001173137;NA;-0.100360231;3;3
65andup;black;8;1.102105921;1.075023187;0.001183205;NA;-0.100360231;3;3
65andup;black;9;1.094385571;1.073944292;0.001187587;NA;-0.100360231;3;3
65andup;black;10;1.078865813;1.072866479;0.001131389;NA;-0.100360231;3;3
65andup;black;11;1.082754144;1.071789747;0.001132026;NA;-0.100360231;3;3
65andup;black;12;1.087078034;1.070714097;0.001095813;NA;-0.100360231;3;3
65andup;black;13;1.066874696;1.069639526;0.001063676;NA;-0.100360231;3;3
65andup;black;14;1.066717380;1.068566033;0.001117639;NA;-0.100360231;3;3
65andup;black;15;1.070546865;1.067493618;0.001070824;NA;-0.100360231;3;3
65andup;black;16;1.055324112;1.066422278;0.001106518;NA;-0.100360231;3;3
65andup;black;17;1.061331281;1.065352015;0.001110735;NA;-0.100360231;3;3
65andup;black;18;1.069395823;1.064282825;0.001145418;NA;-0.100360231;3;3
65andup;black;19;1.071454538;1.063214708;0.001140636;NA;-0.100360231;3;3
65andup;black;20;1.070131783;1.062147663;0.001140670;NA;-0.100360231;3;3
65andup;black;21;1.083725294;1.061081690;0.001158573;NA;-0.100360231;3;3
65andup;black;22;1.070171699;1.060016786;0.001106380;NA;-0.100360231;3;3
65andup;black;23;1.087354268;1.058952950;0.001113376;NA;-0.100360231;3;3
65andup;black;24;1.082791457;1.057890183;0.001072561;NA;-0.100360231;3;3
65andup;black;25;1.062730960;1.056828482;0.001042097;Joinpoint 1;NA;3;3
65andup;black;26;1.077010983;1.182728809;0.001092352;NA;11.913033196;3;3
65andup;black;27;1.188407669;1.323627685;0.001107931;NA;11.913033196;3;3
65andup;black;28;1.667689461;1.481311891;0.001268481;Joinpoint 2;NA;3;3
65andup;black;29;1.348463757;1.405617558;0.001190076;NA;-5.109952413*;3;3
65andup;black;30;1.218220959;1.333791170;0.001192785;NA;-5.109952413*;3;3
65andup;black;31;1.264174673;1.265635076;0.001164745;NA;-5.109952413*;3;3
65andup;black;32;1.242695442;1.200961725;0.001144133;NA;-5.109952413*;3;3
65andup;black;33;1.141111346;1.139593153;0.001114711;Joinpoint 3;NA;3;3
65andup;black;34;1.087609759;1.136156813;0.001039911;NA;-0.301540904;3;3
