age_cat,race_cat,date,rr,rr_lower,rr_upper,modeled_rr
Under 65,"Non-Hispanic American
Indian or Alaska Native",2018-01-01,1.55622312430427,1.4583137993574675,1.6607059562121682,1.677234616
Under 65,"Non-Hispanic American
Indian or Alaska Native",2018-02-01,1.6811189101333623,1.571601103262099,1.7982685200092152,1.679622523
Under 65,"Non-Hispanic American
Indian or Alaska Native",2018-03-01,1.7095696522164303,1.602040559591537,1.8243161062817117,1.682013831
Under 65,"Non-Hispanic American
Indian or Alaska Native",2018-04-01,1.6755045967811355,1.5667462957408074,1.79181253625197,1.684408542
Under 65,"Non-Hispanic American
Indian or Alaska Native",2018-05-01,1.753767190416049,1.643458956243001,1.8714792642044116,1.686806664
Under 65,"Non-Hispanic American
Indian or Alaska Native",2018-06-01,1.6510647426748235,1.543224634530534,1.7664406875757042,1.689208199
Under 65,"Non-Hispanic American
Indian or Alaska Native",2018-07-01,1.7489986872888532,1.6395805792281346,1.8657188593794003,1.691613154
Under 65,"Non-Hispanic American
Indian or Alaska Native",2018-08-01,1.7329337229981157,1.623676868777345,1.8495424465617112,1.694021532
Under 65,"Non-Hispanic American
Indian or Alaska Native",2018-09-01,1.63255402596406,1.524912775061882,1.747793507457044,1.696433339
Under 65,"Non-Hispanic American
Indian or Alaska Native",2018-10-01,1.672549384813535,1.565162675676342,1.787303957674116,1.698848581
Under 65,"Non-Hispanic American
Indian or Alaska Native",2018-11-01,1.6630942960560169,1.555059485193378,1.7786346206750474,1.70126726
Under 65,"Non-Hispanic American
Indian or Alaska Native",2018-12-01,1.7546667753531566,1.6454947427887614,1.8710819381350583,1.703689384
Under 65,"Non-Hispanic American
Indian or Alaska Native",2019-01-01,1.806118718485436,1.6958555318003157,1.9235511304435668,1.706114955
Under 65,"Non-Hispanic American
Indian or Alaska Native",2019-02-01,1.723162178233816,1.6112969267470447,1.8427937416165965,1.70854398
Under 65,"Non-Hispanic American
Indian or Alaska Native",2019-03-01,1.7692823798384425,1.6605693726954285,1.8851125349407096,1.710976463
Under 65,"Non-Hispanic American
Indian or Alaska Native",2019-04-01,1.686175913108129,1.5767050592934706,1.8032473436852423,1.71341241
Under 65,"Non-Hispanic American
Indian or Alaska Native",2019-05-01,1.7467353585511296,1.6369910030593005,1.863837007723748,1.715851824
Under 65,"Non-Hispanic American
Indian or Alaska Native",2019-06-01,1.6570777442414248,1.548084604505129,1.7737445631002988,1.718294712
Under 65,"Non-Hispanic American
Indian or Alaska Native",2019-07-01,1.739596491027024,1.63002532707541,1.8565330865276388,1.720741077
Under 65,"Non-Hispanic American
Indian or Alaska Native",2019-08-01,1.6889467013771695,1.5788773824577764,1.806689355225536,1.723190926
Under 65,"Non-Hispanic American
Indian or Alaska Native",2019-09-01,1.678641666992727,1.5680801171382632,1.7969986452647964,1.725644262
Under 65,"Non-Hispanic American
Indian or Alaska Native",2019-10-01,1.7151581183461495,1.6055107618049993,1.832293772743956,1.728101091
Under 65,"Non-Hispanic American
Indian or Alaska Native",2019-11-01,1.7321290951658146,1.6220046410175466,1.8497303438279664,1.730561418
Under 65,"Non-Hispanic American
Indian or Alaska Native",2019-12-01,1.744875205423893,1.6377813900146476,1.858971839016832,1.733025248
Under 65,"Non-Hispanic American
Indian or Alaska Native",2020-01-01,1.7514689853226442,1.6446547653398516,1.8652203922646553,1.735492586
Under 65,"Non-Hispanic American
Indian or Alaska Native",2020-02-01,1.7326325751370588,1.623111136750863,1.8495441085047928,1.737963436
Under 65,"Non-Hispanic American
Indian or Alaska Native",2020-03-01,1.7640483373260665,1.6571249978361149,1.8778707342453689,1.740437805
Under 65,"Non-Hispanic American
Indian or Alaska Native",2020-04-01,1.8751195506470295,1.7667873384832606,1.9900942533565884,1.922410524
